,area_birth,area_death,cell_id,cell_birth_time,cell_death_time,daughter1_id,daughter2_id,fluor1_mean_death,mother_id,long_axis_death,short_axis_death,fluor1_bg_death,fluor2_bg_death,error_frame,position,aspect_ratio
28,259.0,229.0,29.0,8.0,9.0,,,0.0,17.0,35.0,6.511082955292911,0.0,,,29.0,0.18603094157979744
29,346.0,603.0,30.0,9.0,16.0,,,0.0,11.0,52.0,11.59594553129195,0.0,,12.0,29.0,0.2229989525248452
30,504.0,1235.0,31.0,9.0,17.0,,,0.0,11.0,72.0,17.151885278361007,0.0,,17.0,29.0,0.2382206288661251
31,54.0,79.0,32.0,9.0,10.0,,,0.0,0.0,14.0,5.673487800429533,0.0,,10.0,29.0,0.4052491286021095
32,193.0,153.0,33.0,10.0,12.0,,,0.0,1.0,29.0,5.271755847279737,0.0,,,29.0,0.18178468438895645
33,507.0,629.0,34.0,10.0,13.0,47.0,48.0,0.0,1.0,54.0,11.64732517079942,0.0,,,29.0,0.2156912068666559
34,311.0,322.0,35.0,10.0,19.0,,,121.8975155279503,2.0,31.0,10.379608834793427,124.07110128962493,,19.0,29.0,0.33482609144494924
35,329.0,290.0,36.0,10.0,19.0,,,123.34482758620689,2.0,27.0,10.741305759534084,124.07110128962493,,19.0,29.0,0.3978261392420031
36,30.0,30.0,37.0,10.0,10.0,,,0.0,0.0,9.0,3.279151625159967,0.0,,,29.0,0.3643501805733297
37,511.0,456.0,38.0,11.0,19.0,,,237.5482456140351,25.0,41.0,11.103514797528454,124.07110128962493,,16.0,29.0,0.27081743408605985
38,757.0,1170.0,39.0,11.0,18.0,97.0,98.0,0.0,25.0,71.0,16.492308530006817,0.0,,,29.0,0.23228603563389882
39,171.0,176.0,40.0,11.0,12.0,,,0.0,0.0,29.0,6.071493379966349,0.0,,,29.0,0.2093618406884948
40,558.0,807.0,41.0,12.0,14.0,63.0,64.0,0.0,12.0,51.0,15.823016681129776,0.0,,14.0,29.0,0.3102552290417603
41,149.0,149.0,42.0,12.0,13.0,,,0.0,12.0,27.0,5.504122719111226,0.0,,,29.0,0.2038563970041195
42,273.0,353.0,43.0,12.0,17.0,,,0.0,28.0,42.0,8.41217078806795,0.0,,14.0,29.0,0.20028978066828454
43,198.0,196.0,44.0,12.0,13.0,,,0.0,28.0,28.0,6.948614299316714,0.0,,,29.0,0.24816479640416836
44,406.0,532.0,45.0,13.0,19.0,,,114.51503759398496,5.0,51.0,10.42853061898469,124.07110128962493,,,29.0,0.20448099252911156
45,394.0,549.0,46.0,13.0,19.0,,,115.62295081967213,5.0,47.0,11.682438999105852,124.07110128962493,,,29.0,0.2485625318958692
46,358.0,199.0,47.0,14.0,19.0,,,242.55778894472363,34.0,21.0,9.468792773285589,124.07110128962493,,19.0,29.0,0.4508948939659804
47,204.0,135.0,48.0,14.0,18.0,,,0.0,34.0,21.0,6.333105578153289,0.0,,15.0,29.0,0.3015764561025375
48,342.0,494.0,49.0,14.0,18.0,83.0,84.0,0.0,3.0,45.0,10.965474654394853,0.0,,,29.0,0.24367721454210786
49,429.0,524.0,50.0,14.0,18.0,85.0,86.0,0.0,3.0,45.0,11.64250763179339,0.0,,,29.0,0.25872239181763085
50,383.0,383.0,51.0,14.0,14.0,,,0.0,26.0,35.0,10.940629277302781,0.0,,,29.0,0.3125894079229366
51,136.0,518.0,52.0,14.0,16.0,,,0.0,26.0,48.0,10.791643202879698,0.0,,15.0,29.0,0.2248259000599937
52,78.0,78.0,53.0,14.0,14.0,,,0.0,13.0,16.0,4.847511839469625,0.0,,,29.0,0.3029694899668516
53,428.0,653.0,54.0,14.0,18.0,95.0,96.0,0.0,13.0,61.0,10.689890788261124,0.0,,,29.0,0.17524411128296924
54,930.0,927.0,55.0,14.0,18.0,99.0,100.0,0.0,15.0,58.0,15.96040528469559,0.0,,15.0,29.0,0.27517940146026876
55,329.0,1258.0,56.0,14.0,17.0,80.0,81.0,0.0,15.0,87.0,14.465377009150991,0.0,,15.0,29.0,0.1662687012546091
56,197.0,214.0,57.0,14.0,18.0,,,0.0,0.0,40.0,5.349338134064483,0.0,,,29.0,0.13373345335161207
57,316.0,608.0,58.0,14.0,19.0,,,290.01973684210526,19.0,52.0,11.678721760709768,124.07110128962493,,18.0,29.0,0.22459080309057247
58,205.0,206.0,59.0,14.0,17.0,,,0.0,19.0,20.0,10.299960543204492,0.0,,,29.0,0.5149980271602246
59,39.0,408.0,60.0,15.0,17.0,,,0.0,0.0,36.0,11.323550915074158,0.0,,16.0,29.0,0.3145430809742822
60,876.0,1067.0,61.0,15.0,16.0,72.0,73.0,0.0,21.0,68.0,15.675817762078092,0.0,,16.0,29.0,0.23052673179526606
61,559.0,559.0,62.0,15.0,15.0,,,0.0,21.0,40.0,13.948687112165242,0.0,,,29.0,0.34871717780413103
62,629.0,628.0,63.0,15.0,18.0,93.0,94.0,0.0,41.0,60.0,10.457542069169518,0.0,,,29.0,0.17429236781949198
63,209.0,245.0,64.0,15.0,18.0,,,0.0,41.0,25.0,9.75964580275701,0.0,,,29.0,0.3903858321102804
64,332.0,300.0,65.0,15.0,16.0,,,0.0,0.0,32.0,9.353524912802719,0.0,,,29.0,0.29229765352508497
65,278.0,385.0,66.0,16.0,19.0,,,215.4,7.0,36.0,10.547550519161662,124.07110128962493,,18.0,29.0,0.2929875144211573
66,866.0,1660.0,67.0,16.0,18.0,,,0.0,7.0,73.0,22.725731951193392,0.0,,18.0,29.0,0.3113113965916903
67,273.0,273.0,68.0,16.0,16.0,,,0.0,0.0,35.0,7.7403613677001335,0.0,,,29.0,0.22115318193428954
68,640.0,1037.0,69.0,16.0,17.0,78.0,79.0,0.0,27.0,74.0,14.014545951166788,0.0,,17.0,29.0,0.1893857560968485
69,228.0,363.0,70.0,16.0,19.0,,,141.78236914600552,27.0,31.0,11.710654033595628,124.07110128962493,,17.0,29.0,0.37776303334179445
70,214.0,388.0,71.0,16.0,19.0,,,234.51288659793815,0.0,37.0,10.46602266428828,124.07110128962493,,19.0,29.0,0.2828654774131968
71,1124.0,1124.0,72.0,17.0,17.0,,,0.0,61.0,66.0,17.029566375901325,0.0,,,29.0,0.2580237329682019
72,342.0,423.0,73.0,17.0,19.0,,,142.67612293144208,61.0,36.0,11.715510626383217,124.07110128962493,,,29.0,0.32543085073286715
73,1125.0,1209.0,74.0,17.0,19.0,,,128.77832919768403,0.0,88.0,13.7362715263053,124.07110128962493,,,29.0,0.15609399461710569
74,4.0,4.0,75.0,17.0,17.0,,,0.0,0.0,2.0,1.3338134673932398,0.0,,,29.0,0.6669067336966199
75,331.0,470.0,76.0,18.0,19.0,,,143.18936170212766,0.0,40.0,11.735657014334196,124.07110128962493,,,29.0,0.2933914253583549
76,514.0,486.0,77.0,18.0,19.0,,,141.6255144032922,0.0,46.0,10.543847262920584,124.07110128962493,,,29.0,0.22921407093305618
77,405.0,337.0,78.0,18.0,19.0,,,144.0207715133531,69.0,29.0,11.606483808932808,124.07110128962493,,,29.0,0.4002235796183727
78,781.0,781.0,79.0,18.0,18.0,89.0,90.0,0.0,69.0,76.0,10.268605066739221,0.0,,,29.0,0.13511322456235816
79,925.0,925.0,80.0,18.0,18.0,101.0,102.0,0.0,56.0,54.0,17.11470977487571,0.0,,,29.0,0.31693906990510573
80,350.0,310.0,81.0,18.0,19.0,,,130.8,56.0,30.0,10.305625545777064,124.07110128962493,,,29.0,0.3435208515259021
81,91.0,91.0,82.0,19.0,19.0,,,261.86813186813185,0.0,14.0,6.450071906259995,124.07110128962493,,,29.0,0.46071942187571396
82,285.0,285.0,83.0,19.0,19.0,,,121.50877192982456,49.0,29.0,9.825817394223236,124.07110128962493,,,29.0,0.3388212894559737
83,300.0,300.0,84.0,19.0,19.0,,,121.71,49.0,28.0,10.67573595993878,124.07110128962493,,,29.0,0.3812762842835279
84,271.0,271.0,85.0,19.0,19.0,,,123.35055350553506,50.0,28.0,9.656738832995915,124.07110128962493,,,29.0,0.3448835297498541
85,262.0,262.0,86.0,19.0,19.0,,,122.26335877862596,50.0,26.0,10.067392999866453,124.07110128962493,,,29.0,0.3872074230717866
86,343.0,343.0,87.0,19.0,19.0,,,114.86880466472303,4.0,31.0,11.063458052059724,124.07110128962493,,,29.0,0.35688574361482983
87,321.0,321.0,88.0,19.0,19.0,,,115.37071651090342,4.0,29.0,11.060943118840246,124.07110128962493,,,29.0,0.38141183168414644
88,393.0,393.0,89.0,19.0,19.0,,,142.07124681933843,79.0,34.0,11.533093300836232,124.07110128962493,,,29.0,0.3392086264951833
89,437.0,437.0,90.0,19.0,19.0,,,139.1716247139588,79.0,37.0,11.792295391067373,124.07110128962493,,,29.0,0.31871068624506416
90,338.0,338.0,91.0,19.0,19.0,,,124.60059171597634,0.0,32.0,10.563268009807484,124.07110128962493,,,29.0,0.33010212530648386
91,339.0,339.0,92.0,19.0,19.0,,,130.69911504424778,0.0,31.0,10.747849378433191,124.07110128962493,,,29.0,0.3467048186591352
92,333.0,333.0,93.0,19.0,19.0,,,138.36336336336336,63.0,31.0,10.72093225648218,124.07110128962493,,,29.0,0.345836524402651
93,353.0,353.0,94.0,19.0,19.0,,,140.43626062322946,63.0,31.0,11.404440966712139,124.07110128962493,,,29.0,0.3678851924745851
94,394.0,394.0,95.0,19.0,19.0,,,144.07868020304568,54.0,36.0,10.909496769277023,124.07110128962493,,,29.0,0.30304157692436173
95,388.0,388.0,96.0,19.0,19.0,,,140.8659793814433,54.0,34.0,11.381442709062762,124.07110128962493,,,29.0,0.3347483149724342
96,450.0,450.0,97.0,19.0,19.0,,,229.5377777777778,39.0,42.0,10.70001883266726,124.07110128962493,,,29.0,0.2547623531587443
97,417.0,417.0,98.0,19.0,19.0,,,220.84172661870502,39.0,40.0,10.417267210508593,124.07110128962493,,,29.0,0.2604316802627148
98,597.0,597.0,99.0,19.0,19.0,,,130.69011725293132,55.0,54.0,11.039516138459346,124.07110128962493,,,29.0,0.20443548404554346
99,592.0,592.0,100.0,19.0,19.0,,,131.3766891891892,55.0,53.0,11.14700452555294,124.07110128962493,,,29.0,0.21032084010477248
100,610.0,610.0,101.0,19.0,19.0,,,134.6639344262295,80.0,60.0,10.16393576147962,124.07110128962493,,,29.0,0.16939892935799367
101,334.0,334.0,102.0,19.0,19.0,,,138.73952095808383,80.0,30.0,11.091428243130903,124.07110128962493,,,29.0,0.3697142747710301
102,423.0,82.0,1.0,1.0,12.0,,,0.0,0.0,18.0,4.421400367036539,0.0,,12.0,27.0,0.24563335372425218
103,670.0,777.0,2.0,1.0,4.0,56.0,57.0,0.0,0.0,61.0,12.736675811118575,0.0,,,27.0,0.20879796411669796
104,202.0,238.0,3.0,1.0,4.0,,,0.0,0.0,19.0,12.475177248514582,0.0,,,27.0,0.6565882762376095
105,366.0,82.0,4.0,1.0,9.0,,,0.0,0.0,19.0,4.263900541135421,0.0,,4.0,27.0,0.22441581795449586
106,464.0,854.0,5.0,1.0,18.0,164.0,165.0,0.0,0.0,53.0,16.11347271998274,0.0,,,27.0,0.3040277871694857
107,349.0,510.0,6.0,1.0,6.0,64.0,65.0,0.0,0.0,42.0,12.141902230943217,0.0,,,27.0,0.2890929102605528
108,387.0,165.0,7.0,1.0,7.0,,,0.0,0.0,25.0,6.5570292230224165,0.0,,7.0,27.0,0.26228116892089665
109,538.0,1064.0,8.0,1.0,11.0,100.0,101.0,0.0,0.0,71.0,14.98499149379914,0.0,,,27.0,0.2110562182225231
110,350.0,1256.0,9.0,1.0,17.0,148.0,149.0,0.0,0.0,73.0,17.204816891612623,0.0,,13.0,27.0,0.23568242317277566
111,390.0,68.0,10.0,1.0,13.0,,,0.0,0.0,15.0,4.5161185300227205,0.0,,11.0,27.0,0.3010745686681814
112,543.0,1013.0,11.0,1.0,18.0,170.0,171.0,0.0,0.0,67.0,15.120310764304909,0.0,,,27.0,0.22567628006425236
113,444.0,565.0,12.0,1.0,19.0,,,163.2283185840708,0.0,47.0,12.020758853533927,124.36996309267815,,9.0,27.0,0.25576082667093464
114,515.0,667.0,13.0,1.0,19.0,,,472.86206896551727,0.0,48.0,13.892964635492541,124.36996309267815,,,27.0,0.28943676323942796
115,523.0,659.0,14.0,1.0,8.0,76.0,77.0,0.0,0.0,57.0,11.545411355685829,0.0,,,27.0,0.20255107641554085
116,435.0,748.0,15.0,1.0,16.0,137.0,138.0,0.0,0.0,59.0,12.678069123880968,0.0,,,27.0,0.21488252752340625
117,407.0,699.0,16.0,1.0,10.0,88.0,89.0,0.0,0.0,64.0,10.909672032922112,0.0,,,27.0,0.170463625514408
118,563.0,763.0,17.0,1.0,8.0,78.0,79.0,0.0,0.0,53.0,14.395508074133465,0.0,,,27.0,0.2716133598893107
119,739.0,798.0,18.0,1.0,3.0,53.0,54.0,0.0,0.0,67.0,11.910813908725011,0.0,,,27.0,0.1777733419212688
120,514.0,943.0,19.0,1.0,19.0,,,138.0424178154825,0.0,64.0,14.729377309100759,124.36996309267815,,,27.0,0.23014652045469935
121,549.0,935.0,20.0,1.0,10.0,90.0,91.0,0.0,0.0,62.0,15.054863881764497,0.0,,,27.0,0.24282038518974997
122,954.0,954.0,21.0,1.0,1.0,47.0,48.0,0.0,0.0,78.0,12.225777330402556,0.0,,,27.0,0.15674073500516097
123,483.0,829.0,22.0,1.0,12.0,105.0,106.0,0.0,0.0,67.0,12.36434330929891,0.0,,,27.0,0.18454243745222254
124,434.0,627.0,23.0,1.0,19.0,,,156.76076555023923,0.0,51.0,12.276657904051378,124.36996309267815,,,27.0,0.24071878243237996
125,459.0,968.0,24.0,1.0,13.0,114.0,115.0,0.0,0.0,72.0,13.436633305671787,0.0,,,27.0,0.18661990702321926
126,185.0,144.0,25.0,1.0,4.0,,,0.0,0.0,17.0,8.447271923765504,0.0,,3.0,27.0,0.49689834845679437
127,724.0,993.0,26.0,1.0,4.0,,,0.0,0.0,68.0,14.585367500694032,0.0,,,27.0,0.2144906985396181
128,560.0,361.0,27.0,1.0,4.0,,,0.0,0.0,26.0,13.854546369712109,0.0,,2.0,27.0,0.5328671680658503
129,162.0,138.0,28.0,1.0,4.0,,,0.0,0.0,16.0,8.62394472107728,0.0,,2.0,27.0,0.53899654506733
130,238.0,296.0,29.0,1.0,4.0,,,0.0,0.0,25.0,11.824220879090685,0.0,,,27.0,0.4729688351636274
131,540.0,873.0,30.0,1.0,10.0,92.0,93.0,0.0,0.0,67.0,13.021251980266888,0.0,,,27.0,0.19434704448159534
132,675.0,935.0,31.0,1.0,6.0,66.0,67.0,0.0,0.0,68.0,13.741210109525435,0.0,,,27.0,0.202076619257727
133,616.0,836.0,32.0,1.0,6.0,68.0,69.0,0.0,0.0,59.0,13.922296827545026,0.0,,,27.0,0.23597113267025469
134,446.0,620.0,33.0,1.0,8.0,80.0,81.0,0.0,0.0,58.0,10.690055456328682,0.0,,5.0,27.0,0.18431130097118417
135,535.0,535.0,34.0,1.0,1.0,49.0,50.0,0.0,0.0,42.0,12.72825768515015,0.0,,,27.0,0.3030537544083369
136,431.0,753.0,35.0,1.0,10.0,94.0,95.0,0.0,0.0,56.0,13.444017320385257,0.0,,,27.0,0.24007173786402244
137,154.0,56.0,36.0,1.0,2.0,,,0.0,0.0,11.0,4.983267209712612,0.0,,2.0,27.0,0.45302429179205567
138,748.0,988.0,37.0,1.0,5.0,60.0,61.0,0.0,0.0,72.0,13.709631016040534,0.0,,,27.0,0.19041154188945186
139,598.0,808.0,38.0,1.0,5.0,62.0,63.0,0.0,0.0,62.0,13.022628063113716,0.0,,,27.0,0.21004238811473736
140,620.0,1040.0,39.0,1.0,10.0,96.0,97.0,0.0,0.0,66.0,15.749739766827265,0.0,,,27.0,0.23863242070950402
141,632.0,832.0,40.0,1.0,19.0,,,182.83533653846155,0.0,66.0,12.606958051290684,124.36996309267815,,4.0,27.0,0.19101451592864674
142,582.0,734.0,41.0,1.0,4.0,58.0,59.0,0.0,0.0,41.0,17.88576203780262,0.0,,,27.0,0.4362380984829908
143,839.0,1206.0,42.0,1.0,8.0,,,0.0,0.0,78.0,15.454537008642506,0.0,,,27.0,0.1981350898543911
144,543.0,1122.0,43.0,1.0,11.0,102.0,103.0,0.0,0.0,67.0,16.727234265263217,0.0,,,27.0,0.24966021291437637
145,570.0,1090.0,44.0,1.0,14.0,,,0.0,0.0,68.0,16.029172423445456,0.0,,,27.0,0.2357231238741979
146,177.0,191.0,45.0,2.0,5.0,,,0.0,0.0,18.0,10.58052128124844,0.0,,,27.0,0.5878067378471356
147,164.0,166.0,46.0,2.0,5.0,,,0.0,0.0,16.0,10.35229508205645,0.0,,,27.0,0.6470184426285281
148,453.0,197.0,47.0,2.0,17.0,,,0.0,21.0,25.0,7.86016238848628,0.0,,15.0,27.0,0.3144064955394512
149,547.0,1411.0,48.0,2.0,17.0,151.0,152.0,0.0,21.0,70.0,20.153851609755318,0.0,,,27.0,0.2879121658536474
150,228.0,692.0,49.0,2.0,7.0,72.0,73.0,0.0,34.0,54.0,12.809682299854655,0.0,,3.0,27.0,0.2372163388861973
151,212.0,212.0,50.0,2.0,2.0,,,0.0,34.0,30.0,6.957945290509351,0.0,,,27.0,0.23193150968364504
152,41.0,37.0,51.0,3.0,4.0,,,0.0,0.0,8.0,4.585187465965205,0.0,,,27.0,0.5731484332456507
153,52.0,88.0,52.0,3.0,4.0,,,0.0,0.0,17.0,5.176866121267795,0.0,,4.0,27.0,0.30452153654516445
154,404.0,77.0,53.0,4.0,18.0,,,0.0,18.0,17.0,4.500037039223633,0.0,,16.0,27.0,0.2647080611308019
155,426.0,670.0,54.0,4.0,18.0,175.0,176.0,0.0,18.0,55.0,12.140115520158036,0.0,,,27.0,0.22072937309378246
156,248.0,380.0,55.0,4.0,18.0,199.0,200.0,0.0,0.0,50.0,7.568094163573574,0.0,,,27.0,0.1513618832714715
157,271.0,765.0,56.0,5.0,19.0,,,117.00653594771242,2.0,61.0,12.538416985259863,124.36996309267815,,6.0,27.0,0.20554781943048955
158,524.0,693.0,57.0,5.0,16.0,135.0,136.0,0.0,2.0,50.0,13.857022782961446,0.0,,6.0,27.0,0.2771404556592289
159,304.0,134.0,58.0,5.0,16.0,,,0.0,41.0,14.0,9.490747996097411,0.0,,16.0,27.0,0.6779105711498151
160,442.0,611.0,59.0,5.0,15.0,,,0.0,41.0,46.0,13.269827441005551,0.0,,9.0,27.0,0.2884745095870772
161,558.0,337.0,60.0,6.0,13.0,117.0,118.0,0.0,37.0,28.0,12.007576957523622,0.0,,12.0,27.0,0.4288420341972722
162,489.0,1250.0,61.0,6.0,14.0,,,0.0,37.0,62.0,20.158045157874607,0.0,,12.0,27.0,0.3251297606108808
163,350.0,276.0,62.0,6.0,13.0,,,0.0,38.0,24.0,11.474132899606893,0.0,,12.0,27.0,0.4780888708169539
164,503.0,373.0,63.0,6.0,13.0,,,0.0,38.0,34.0,10.955957437032623,0.0,,13.0,27.0,0.3222340422656654
165,292.0,299.0,64.0,7.0,18.0,,,0.0,6.0,25.0,11.96099900955484,0.0,,13.0,27.0,0.4784399603821936
166,384.0,384.0,65.0,7.0,7.0,70.0,71.0,0.0,6.0,51.0,7.501268242777148,0.0,,,27.0,0.14708369103484603
167,415.0,803.0,66.0,7.0,17.0,156.0,157.0,0.0,31.0,54.0,14.858043005699304,0.0,,13.0,27.0,0.2751489445499871
168,571.0,540.0,67.0,7.0,16.0,140.0,141.0,0.0,31.0,60.0,8.992272834073988,0.0,,16.0,27.0,0.14987121390123315
169,396.0,477.0,68.0,7.0,18.0,185.0,186.0,0.0,32.0,49.0,9.726448985693334,0.0,,13.0,27.0,0.19849895889170072
170,478.0,872.0,69.0,7.0,18.0,187.0,188.0,0.0,32.0,57.0,15.303918851718846,0.0,,,27.0,0.2684898044161201
171,400.0,400.0,70.0,8.0,8.0,74.0,75.0,0.0,65.0,42.0,9.512508148789564,0.0,,,27.0,0.22648828925689438
172,7.0,7.0,71.0,8.0,8.0,,,0.0,65.0,4.0,1.75,0.0,,,27.0,0.4375
173,435.0,1915.0,72.0,8.0,18.0,191.0,192.0,0.0,49.0,101.0,18.959978386516866,0.0,,10.0,27.0,0.18772255828234521
174,306.0,381.0,73.0,8.0,19.0,,,188.38845144356955,49.0,34.0,11.20128971941067,124.36996309267815,,9.0,27.0,0.3294496976297256
175,403.0,729.0,74.0,9.0,13.0,112.0,113.0,0.0,70.0,49.0,14.842813098174163,0.0,,,27.0,0.30291455302396253
176,59.0,59.0,75.0,9.0,9.0,,,0.0,70.0,9.0,6.527198294826336,0.0,,,27.0,0.725244254980704
177,360.0,423.0,76.0,9.0,13.0,,,0.0,14.0,36.0,11.744571563580637,0.0,,,27.0,0.32623809898835104
178,397.0,401.0,77.0,9.0,13.0,,,0.0,14.0,37.0,10.811031351974988,0.0,,,27.0,0.29219003653986453
179,329.0,488.0,78.0,9.0,19.0,,,128.952868852459,17.0,35.0,13.85376825409436,124.36996309267815,,14.0,27.0,0.39582195011698174
180,448.0,473.0,79.0,9.0,19.0,,,131.61310782241014,17.0,37.0,12.634287278310405,124.36996309267815,,12.0,27.0,0.34146722373811905
181,236.0,321.0,80.0,9.0,15.0,,,0.0,33.0,32.0,9.90297314071171,0.0,,,27.0,0.30946791064724094
182,375.0,461.0,81.0,9.0,16.0,,,0.0,33.0,27.0,17.059747065423313,0.0,,,27.0,0.6318424839045671
183,215.0,293.0,82.0,9.0,11.0,,,0.0,0.0,36.0,8.125160181147033,0.0,,,27.0,0.2256988939207509
184,284.0,541.0,83.0,9.0,19.0,,,283.60998151571164,0.0,42.0,12.857631555731514,124.36996309267815,,19.0,27.0,0.30613408466027414
185,290.0,568.0,84.0,10.0,19.0,,,170.94190140845072,0.0,50.0,11.353426672662232,124.36996309267815,,,27.0,0.22706853345324465
186,302.0,307.0,85.0,10.0,19.0,,,232.5114006514658,0.0,28.0,10.957929227979134,124.36996309267815,,19.0,27.0,0.39135461528496907
187,310.0,623.0,86.0,10.0,13.0,119.0,120.0,0.0,0.0,73.0,8.518451840143024,0.0,,12.0,27.0,0.11669112109784965
188,282.0,568.0,87.0,11.0,12.0,,,0.0,0.0,52.0,10.92124778011436,0.0,,12.0,27.0,0.21002399577143
189,319.0,348.0,88.0,11.0,13.0,,,0.0,16.0,34.0,10.226080025468223,0.0,,,27.0,0.3007670595725948
190,416.0,1777.0,89.0,11.0,14.0,123.0,124.0,0.0,16.0,80.0,22.19861955178883,0.0,,14.0,27.0,0.27748274439736037
191,387.0,561.0,90.0,11.0,14.0,125.0,126.0,0.0,20.0,43.0,13.044938787153633,0.0,,,27.0,0.3033706694686891
192,567.0,756.0,91.0,11.0,18.0,177.0,178.0,0.0,20.0,48.0,15.741430101838452,0.0,,16.0,27.0,0.3279464604549677
193,548.0,496.0,92.0,11.0,15.0,,,0.0,30.0,38.0,13.052584287994977,0.0,,,27.0,0.3434890602103941
194,299.0,1811.0,93.0,11.0,17.0,154.0,155.0,0.0,30.0,95.0,19.05307099526325,0.0,,12.0,27.0,0.20055864205540264
195,421.0,537.0,94.0,11.0,16.0,,,0.0,35.0,34.0,15.8027235932459,0.0,,,27.0,0.4647859880366441
196,413.0,196.0,95.0,11.0,13.0,,,0.0,35.0,18.0,10.887126110379175,0.0,,13.0,27.0,0.6048403394655097
197,251.0,449.0,96.0,11.0,18.0,195.0,196.0,0.0,39.0,44.0,10.18850879448403,0.0,,,27.0,0.2315570180564552
198,310.0,552.0,97.0,11.0,14.0,130.0,131.0,0.0,39.0,41.0,13.46115972253856,0.0,,13.0,27.0,0.3283209688424039
199,172.0,153.0,98.0,11.0,18.0,,,0.0,0.0,28.0,5.473332013057806,0.0,,,27.0,0.19547614332349306
200,257.0,278.0,99.0,11.0,12.0,,,0.0,0.0,34.0,8.177452973240031,0.0,,,27.0,0.24051332274235387
