strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_hpd_min,alpha_hpd_max,fold_change
delta,509.0,872.6502946954813,189.0058939096267,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8508448673103088
delta,433.0,1064.8267898383372,197.8729792147806,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0838199454354165
delta,648.0,1019.4737654320987,196.33796296296296,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0288385888631735
delta,668.0,818.0973053892216,180.31437125748502,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7847104166006301
delta,317.0,1014.8769716088328,197.8044164037855,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.023265907358579
delta,577.0,742.6395147313691,190.67590987868283,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.6932331281809764
delta,784.0,1008.5905612244898,186.45535714285714,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.015644907978139
delta,535.0,956.788785046729,194.62429906542056,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9528457459731191
delta,536.0,770.7294776119403,197.17164179104478,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7272865190067781
delta,454.0,1022.7422907488987,185.46035242290748,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0328010138229444
delta,682.0,1005.3782991202346,192.3782991202346,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0117506907683766
delta,619.0,922.8562197092084,195.20516962843297,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9117093829927368
delta,573.0,806.5165794066318,199.8411867364747,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7706711318351662
delta,408.0,960.8480392156863,195.35539215686273,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9577667695168126
delta,551.0,1237.0399274047186,195.91288566243193,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2925934957536962
delta,448.0,1147.7455357142858,189.109375,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1843421309614088
delta,720.0,1057.6527777777778,190.74305555555554,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0751229087919039
delta,424.0,807.2783018867924,192.8561320754717,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7715945660678134
delta,584.0,894.3133561643835,198.4554794520548,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8771069418392194
delta,624.0,1118.690705128205,195.19070512820514,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1491190334609984
delta,754.0,934.8262599469496,191.50928381962865,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9262206324432766
delta,682.0,834.7052785923754,183.87536656891496,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8048442204335505
delta,270.0,1635.0703703703705,193.16296296296295,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.7751247932318897
delta,338.0,1666.7218934911243,192.67751479289942,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.8134958545125877
delta,503.0,1369.9642147117297,193.62823061630218,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.4537372724525834
delta,617.0,892.1912479740681,183.36790923824958,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8745343154570953
delta,550.0,812.0072727272727,189.34,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7773274854354669
delta,448.0,907.6294642857143,191.08258928571428,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8932500259743699
delta,441.0,899.3219954648526,183.46485260770976,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8831789025722939
delta,481.0,979.4490644490644,184.77546777546777,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9803167452759811
delta,460.0,685.4586956521739,186.30652173913043,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.6239129660959598
delta,598.0,1105.3929765886287,185.46321070234114,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.132998230846239
delta,548.0,724.5036496350365,178.6332116788321,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.6675249082048151
delta,778.0,1224.3907455012854,181.24935732647816,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2735367679101355
delta,517.0,923.3694390715667,188.4835589941973,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9086094008528185
delta,557.0,845.4793536804309,179.91921005385996,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8141834476909507
delta,419.0,747.0238663484487,186.8472553699284,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.6948261098647863
delta,494.0,842.9797570850202,189.71255060728745,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8111531930718094
delta,655.0,935.9496183206107,180.3206106870229,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9238603202807912
delta,603.0,809.7860696517413,183.22553897180762,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7709125699025714
delta,606.0,1055.2112211221122,188.2161716171617,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.068440859172143
delta,323.0,1016.0092879256966,192.4829721362229,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0209164548879406
delta,572.0,904.6083916083916,190.36363636363637,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8858654305499312
delta,538.0,1204.4330855018588,195.36059479553904,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.249342147261526
delta,411.0,1020.7615571776156,193.0778588807786,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0266776188607478
delta,375.0,1015.3306666666666,191.18666666666667,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0200937640551082
delta,387.0,874.3850129198967,192.6201550387597,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8492257051458301
delta,509.0,1014.5343811394891,180.3123772102161,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0191284291281382
delta,630.0,1133.1126984126984,190.3,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1628806227048496
delta,531.0,821.3954802259886,185.41619585687383,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7849866289258205
delta,532.0,1059.5733082706768,182.3045112781955,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0737290063696965
delta,436.0,1021.4564220183486,197.4243119266055,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0275200017465205
delta,639.0,1408.5164319248827,200.32863849765258,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.4967518710240157
delta,514.0,931.7665369649806,190.50972762645915,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9187891813524472
delta,410.0,1165.4048780487806,197.0487804878049,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2020283502557854
delta,376.0,1040.1196808510638,196.5718085106383,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0501454231404779
delta,568.0,1086.338028169014,196.10211267605635,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1061758084860351
delta,348.0,1194.25,196.20114942528735,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2369972185095128
delta,574.0,839.3745644599303,181.68118466898954,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8067826271872456
delta,601.0,885.0881863560733,184.1414309484193,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8622011351828186
delta,524.0,1284.6851145038167,194.14885496183206,0.0,20181021,glucose,37,O2,1,159.2193736949543,187.00538702041482,2069.6958597101147,1574.7979194073594,2667.856879392745,1.3466314786781033
