parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,atc_ngml,carbon,temp
rep_sigma,3,21.820449961850017,21.92289131464696,19.768433256636595,8.48055503006307,39.03076028945,0.95,3.0,glucose,32
rep_sigma,4,23.64767053139065,19.173779339747842,21.14458620910907,10.631119109540869,44.117061746054226,0.95,4.0,glucose,32
rep_sigma,5,87.8866283423397,69.12762289789383,77.53284641922609,38.40888002658463,162.07641822881604,0.95,7.0,glucose,32
rep_sigma,6,108.47705420338742,103.06412442923956,102.78823817132044,60.00973919970243,169.0757180719607,0.95,10.0,glucose,32
empirical_F,1,-1.0493947313417198,-1.1246440215554485,-0.9789155054155934,-1.8532284712094886,-0.31789531131462806,0.95,1.0,glucose,32
empirical_F,2,-2.222217052860041,-2.0383868794436055,-2.195598364080146,-3.160795080795037,-1.3065355596519046,0.95,2.0,glucose,32
empirical_F,3,-3.2228409659323574,-3.2059982963999305,-3.191772144056106,-3.68476766678945,-2.7847460400110644,0.95,3.0,glucose,32
empirical_F,4,-3.722870569206465,-3.739711611915456,-3.7270917884472627,-3.948058507715429,-3.536138029209393,0.95,4.0,glucose,32
empirical_F,5,-3.796162225125241,-4.034427477024355,-3.840834843451458,-4.295480226877663,-3.1518026643671546,0.95,7.0,glucose,32
empirical_F,6,-4.1096183802141795,-4.0793740594984325,-4.108434716961891,-4.347787921792036,-3.867925612912743,0.95,10.0,glucose,32
fc_mu,1,0.6135043958304033,0.615897853486666,0.6141307986642253,0.5942088546176453,0.630926885725782,0.95,0.09999999999999999,glucose,37
fc_mu,2,0.44735591018268445,0.43261524495257253,0.4486055334542464,0.3297516714488613,0.5507457782363278,0.95,0.19999999999999998,glucose,37
fc_mu,3,0.2214329657782579,0.2079527401527047,0.2247116841896285,0.14543054452618076,0.29065448834048146,0.95,0.3,glucose,37
fc_mu,4,0.18630568075291076,0.17825423939848095,0.18589697657741272,0.11463989898723304,0.264633835554258,0.95,0.39999999999999997,glucose,37
fc_mu,5,0.06623001514860614,0.06618875784023437,0.06632595181319872,0.04756945269985935,0.08493844581720311,0.95,0.7000000000000001,glucose,37
fc_mu,6,0.09190192004019436,0.08217968877645199,0.09021081350162652,0.05779906965033332,0.13207639890386824,0.95,1.0,glucose,37
fc_mu,7,0.0543071583482886,0.04594970591865444,0.05383025333174918,0.03431929963540381,0.07437217703353682,0.95,2.0,glucose,37
fc_mu,8,0.03051927195664457,0.03279516405902205,0.030287979876517213,0.01720092301153109,0.04538908309928069,0.95,3.0,glucose,37
fc_mu,9,0.02631170613090154,0.025584634746944057,0.02656819257828802,0.018642447113036975,0.03275485786688237,0.95,4.0,glucose,37
fc_mu,10,0.025945587939760123,0.02881466045050174,0.02568251671226235,0.016594404357425208,0.03346538035115565,0.95,7.0,glucose,37
fc_mu,11,0.023936173956112913,0.02865801666041079,0.0242866774544076,0.01183088024517931,0.03521673407372383,0.95,10.0,glucose,37
fc_sigma,1,0.03295673245796106,0.0246820610085753,0.03156052514055473,0.018105724706856882,0.05170417067363395,0.95,0.09999999999999999,glucose,37
fc_sigma,2,0.18063755920794763,0.15933331103405493,0.17924898584236268,0.12901299963573398,0.22318703711194993,0.95,0.19999999999999998,glucose,37
