parameter,value,date,run_number,temp,carbon
time of max df std,52.03496036320198,20190206,1,37.0,glucose
time of max df stderr,5.203496036320198,20190206,1,37.0,glucose
inverse max df,67.01647185280284,20190206,1,37.0,glucose
inverse max df std,1.058972965202553,20190206,1,37.0,glucose
inverse max df stderr,0.1058972965202553,20190206,1,37.0,glucose
max y,0.18097293526611832,20190206,1,37.0,glucose
max y std,0.001614508318152763,20190206,1,37.0,glucose
max y stderr,0.00016145083181527632,20190206,1,37.0,glucose
lag time,154.7668659064983,20190206,1,37.0,glucose
lag time std,1.3645473974486548,20190206,1,37.0,glucose
lag time stderr,0.1364547397448655,20190206,1,37.0,glucose
max df,0.006572083328566602,20190206,1,37.0,glycerol
max df std,3.1118541420403495e-05,20190206,1,37.0,glycerol
max df stderr,3.1118541420403494e-06,20190206,1,37.0,glycerol
time of max df,634.9066666666666,20190206,1,37.0,glycerol
time of max df std,4.127032832435431,20190206,1,37.0,glycerol
time of max df stderr,0.412703283243543,20190206,1,37.0,glycerol
inverse max df,105.47077534767206,20190206,1,37.0,glycerol
inverse max df std,0.4995081684948333,20190206,1,37.0,glycerol
inverse max df stderr,0.04995081684948333,20190206,1,37.0,glycerol
max y,0.15118927637992013,20190206,1,37.0,glycerol
max y std,0.0008399133664156335,20190206,1,37.0,glycerol
max y stderr,8.399133664156334e-05,20190206,1,37.0,glycerol
lag time,440.3751892603387,20190206,1,37.0,glycerol
lag time std,1.3775283192755878,20190206,1,37.0,glycerol
lag time stderr,0.1377528319275588,20190206,1,37.0,glycerol
max df,0.0041512174238604906,20190313,1,27.0,glucose
max df std,5.220267730538995e-05,20190313,1,27.0,glucose
max df stderr,5.220267730538994e-06,20190313,1,27.0,glucose
time of max df,1179.1566666666668,20190313,1,27.0,glucose
time of max df std,12.687391378845376,20190313,1,27.0,glucose
time of max df stderr,1.2687391378845378,20190313,1,27.0,glucose
inverse max df,167.00084847878398,20190313,1,27.0,glucose
inverse max df std,2.100705685514529,20190313,1,27.0,glucose
inverse max df stderr,0.21007056855145287,20190313,1,27.0,glucose
max y,0.20725953641684386,20190313,1,27.0,glucose
max y std,0.002402977588011871,20190313,1,27.0,glucose
max y stderr,0.00024029775880118705,20190313,1,27.0,glucose
lag time,967.2775536686867,20190313,1,27.0,glucose
lag time std,4.445361473807457,20190313,1,27.0,glucose
lag time stderr,0.44453614738074576,20190313,1,27.0,glucose
max df,0.027573447075067054,20190128,1,37.0,LB
max df std,0.0004206013412755245,20190128,1,37.0,LB
max df stderr,4.206013412755245e-05,20190128,1,37.0,LB
time of max df,144.55666666666667,20190128,1,37.0,LB
time of max df std,2.9458275577501136,20190128,1,37.0,LB
time of max df stderr,0.2945827557750114,20190128,1,37.0,LB
inverse max df,25.144049919609746,20190128,1,37.0,LB
inverse max df std,0.3827513346269717,20190128,1,37.0,LB
inverse max df stderr,0.03827513346269716,20190128,1,37.0,LB
max y,0.345021896183,20190128,1,37.0,LB
max y std,0.00775939911695057,20190128,1,37.0,LB
max y stderr,0.0007759399116950571,20190128,1,37.0,LB
lag time,79.19487021154879,20190128,1,37.0,LB
lag time std,1.5621831003143434,20190128,1,37.0,LB
lag time stderr,0.15621831003143433,20190128,1,37.0,LB
max df,0.010639346243505557,20190128,1,37.0,glucose
max df std,8.996725753747981e-05,20190128,1,37.0,glucose
max df stderr,8.996725753747982e-06,20190128,1,37.0,glucose
time of max df,247.38666666666663,20190128,1,37.0,glucose
time of max df std,9.920262093311868,20190128,1,37.0,glucose
time of max df stderr,0.9920262093311868,20190128,1,37.0,glucose
inverse max df,65.15406153606834,20190128,1,37.0,glucose
inverse max df std,0.5495605190363547,20190128,1,37.0,glucose
inverse max df stderr,0.05495605190363547,20190128,1,37.0,glucose
max y,0.17643383750413758,20190128,1,37.0,glucose
max y std,0.0026913581763521213,20190128,1,37.0,glucose
max y stderr,0.00026913581763521213,20190128,1,37.0,glucose
lag time,156.67229850196517,20190128,1,37.0,glucose
lag time std,1.4774692588368041,20190128,1,37.0,glucose
lag time stderr,0.14774692588368038,20190128,1,37.0,glucose
max df,0.004320545179988266,20190220,1,27.0,glucose
max df std,1.978958491705637e-05,20190220,1,27.0,glucose
max df stderr,1.978958491705637e-06,20190220,1,27.0,glucose
time of max df,948.0866666666664,20190220,1,27.0,glucose
time of max df std,6.590417285726298,20190220,1,27.0,glucose
time of max df stderr,0.6590417285726298,20190220,1,27.0,glucose
inverse max df,160.4338546440674,20190220,1,27.0,glucose
inverse max df std,0.7345789058501454,20190220,1,27.0,glucose
inverse max df stderr,0.07345789058501452,20190220,1,27.0,glucose
max y,0.17025522541757052,20190220,1,27.0,glucose
max y std,0.0005101798008480932,20190220,1,27.0,glucose
max y stderr,5.10179800848093e-05,20190220,1,27.0,glucose
lag time,665.7095878813334,20190220,1,27.0,glucose
lag time std,1.2836873246676803,20190220,1,27.0,glucose
lag time stderr,0.12836873246676805,20190220,1,27.0,glucose
max df,0.01066787406850078,20190316,1,37.0,glucose
max df std,5.251055810902959e-05,20190316,1,37.0,glucose
max df stderr,5.251055810902958e-06,20190316,1,37.0,glucose
time of max df,399.8466666666667,20190316,1,37.0,glucose
time of max df std,3.3011513143144464,20190316,1,37.0,glucose
time of max df stderr,0.33011513143144466,20190316,1,37.0,glucose
inverse max df,64.97676658585564,20190316,1,37.0,glucose
inverse max df std,0.31961376444157136,20190316,1,37.0,glucose
inverse max df stderr,0.031961376444157134,20190316,1,37.0,glucose
max y,0.2980832432347165,20190316,1,37.0,glucose
max y std,0.0019534969826975755,20190316,1,37.0,glucose
max y stderr,0.00019534969826975757,20190316,1,37.0,glucose
lag time,307.2428427581348,20190316,1,37.0,glucose
lag time std,0.860629810604875,20190316,1,37.0,glucose
lag time stderr,0.0860629810604875,20190316,1,37.0,glucose
max df,0.008143997871055748,20190301,1,42.0,glucose
max df std,4.0635424959180814e-05,20190301,1,42.0,glucose
max df stderr,4.063542495918081e-06,20190301,1,42.0,glucose
time of max df,405.9366666666667,20190301,1,42.0,glucose
time of max df std,30.333432051121434,20190301,1,42.0,glucose
time of max df stderr,3.033343205112144,20190301,1,42.0,glucose
inverse max df,85.11353295400944,20190301,1,42.0,glucose
inverse max df std,0.42452920519883697,20190301,1,42.0,glucose
inverse max df stderr,0.0424529205198837,20190301,1,42.0,glucose
max y,0.21936797461799615,20190301,1,42.0,glucose
max y std,0.0015587304739598815,20190301,1,42.0,glucose
max y stderr,0.00015587304739598818,20190301,1,42.0,glucose
lag time,210.51098537274865,20190301,1,42.0,glucose
lag time std,1.8436055393064408,20190301,1,42.0,glucose
lag time stderr,0.18436055393064404,20190301,1,42.0,glucose
max df,0.00423459786379682,20190304,1,27.0,glucose
max df std,1.0204702717846556e-05,20190304,1,27.0,glucose
max df stderr,1.0204702717846554e-06,20190304,1,27.0,glucose
time of max df,1159.3466666666668,20190304,1,27.0,glucose
time of max df std,4.384928733742432,20190304,1,27.0,glucose
time of max df stderr,0.4384928733742432,20190304,1,27.0,glucose
inverse max df,163.68761020918006,20190304,1,27.0,glucose
inverse max df std,0.3943254711543083,20190304,1,27.0,glucose
inverse max df stderr,0.03943254711543083,20190304,1,27.0,glucose
max y,0.20632294979966595,20190304,1,27.0,glucose
max y std,0.0006761761950356293,20190304,1,27.0,glucose
max y stderr,6.761761950356291e-05,20190304,1,27.0,glucose
lag time,927.3269664194769,20190304,1,27.0,glucose
lag time std,1.0360199404315946,20190304,1,27.0,glucose
lag time stderr,0.10360199404315946,20190304,1,27.0,glucose
max df,0.007482192681066047,20190212,1,32.0,glucose
max df std,7.740000403496385e-05,20190212,1,32.0,glucose
max df stderr,7.740000403496384e-06,20190212,1,32.0,glucose
time of max df,623.7766666666665,20190212,1,32.0,glucose
time of max df std,49.73306646487827,20190212,1,32.0,glucose
time of max df stderr,4.973306646487828,20190212,1,32.0,glucose
inverse max df,92.64947592768209,20190212,1,32.0,glucose
inverse max df std,0.9568092081716068,20190212,1,32.0,glucose
inverse max df stderr,0.09568092081716068,20190212,1,32.0,glucose
max y,0.17201008624951342,20190212,1,32.0,glucose
max y std,0.00118887669641165,20190212,1,32.0,glucose
max y stderr,0.00011888766964116499,20190212,1,32.0,glucose
lag time,474.8523498855468,20190212,1,32.0,glucose
lag time std,2.9351021005599134,20190212,1,32.0,glucose
lag time stderr,0.29351021005599137,20190212,1,32.0,glucose
max df,0.027297400340406317,20190129,1,37.0,LB
max df std,0.0005299087888947185,20190129,1,37.0,LB
max df stderr,5.2990878889471854e-05,20190129,1,37.0,LB
time of max df,149.66666666666666,20190129,1,37.0,LB
time of max df std,3.7696153649941535,20190129,1,37.0,LB
time of max df stderr,0.3769615364994153,20190129,1,37.0,LB
inverse max df,25.402061612053213,20190129,1,37.0,LB
inverse max df std,0.4966231982439577,20190129,1,37.0,LB
inverse max df stderr,0.04966231982439577,20190129,1,37.0,LB
max y,0.32189179494999803,20190129,1,37.0,LB
max y std,0.007194749011483984,20190129,1,37.0,LB
max y stderr,0.0007194749011483985,20190129,1,37.0,LB
lag time,110.79080513366743,20190129,1,37.0,LB
lag time std,1.4390531119628318,20190129,1,37.0,LB
lag time stderr,0.1439053111962832,20190129,1,37.0,LB
max df,0.010718660393278321,20190129,1,37.0,glucose
max df std,8.776827273666792e-05,20190129,1,37.0,glucose
max df stderr,8.776827273666792e-06,20190129,1,37.0,glucose
time of max df,269.57666666666665,20190129,1,37.0,glucose
time of max df std,9.215307916722054,20190129,1,37.0,glucose
time of max df stderr,0.9215307916722054,20190129,1,37.0,glucose
inverse max df,64.67165200184654,20190129,1,37.0,glucose
inverse max df std,0.5275042223814278,20190129,1,37.0,glucose
inverse max df stderr,0.05275042223814278,20190129,1,37.0,glucose
max y,0.2038570957959688,20190129,1,37.0,glucose
max y std,0.0013485246684318381,20190129,1,37.0,glucose
max y stderr,0.00013485246684318382,20190129,1,37.0,glucose
lag time,223.84502481140487,20190129,1,37.0,glucose
lag time std,0.4002650737004095,20190129,1,37.0,glucose
lag time stderr,0.04002650737004095,20190129,1,37.0,glucose
max df,0.00380744579054015,20190318,1,44.0,glucose
max df std,4.3644640010780156e-05,20190318,1,44.0,glucose
max df stderr,4.364464001078016e-06,20190318,1,44.0,glucose
time of max df,776.4466666666666,20190318,1,44.0,glucose
time of max df std,15.587225538882794,20190318,1,44.0,glucose
time of max df stderr,1.5587225538882794,20190318,1,44.0,glucose
inverse max df,182.0744230800433,20190318,1,44.0,glucose
inverse max df std,2.0926414824967625,20190318,1,44.0,glucose
inverse max df stderr,0.20926414824967626,20190318,1,44.0,glucose
max y,0.35479961905289786,20190318,1,44.0,glucose
max y std,0.007575206179284989,20190318,1,44.0,glucose
max y stderr,0.0007575206179284989,20190318,1,44.0,glucose
lag time,401.8455153488337,20190318,1,44.0,glucose
lag time std,8.943179023313661,20190318,1,44.0,glucose
lag time stderr,0.8943179023313659,20190318,1,44.0,glucose
max df,0.0076462467374878735,20190315,1,32.0,glucose
max df std,6.486231734596731e-05,20190315,1,32.0,glucose
max df stderr,6.486231734596731e-06,20190315,1,32.0,glucose
time of max df,643.6566666666666,20190315,1,32.0,glucose
time of max df std,4.563978527556851,20190315,1,32.0,glucose
time of max df stderr,0.4563978527556851,20190315,1,32.0,glucose
inverse max df,90.65846405226824,20190315,1,32.0,glucose
inverse max df std,0.7678843309973944,20190315,1,32.0,glucose
inverse max df stderr,0.07678843309973944,20190315,1,32.0,glucose
max y,0.35526628703815744,20190315,1,32.0,glucose
max y std,0.0015877228540659544,20190315,1,32.0,glucose
max y stderr,0.00015877228540659544,20190315,1,32.0,glucose
lag time,456.77337878540976,20190315,1,32.0,glucose
lag time std,1.7752018197388697,20190315,1,32.0,glucose
lag time stderr,0.17752018197388694,20190315,1,32.0,glucose
max df,0.006228179702774781,20190317,1,43.0,glucose
max df std,4.007608200049133e-05,20190317,1,43.0,glucose
max df stderr,4.0076082000491335e-06,20190317,1,43.0,glucose
time of max df,508.1366666666667,20190317,1,43.0,glucose
time of max df std,5.963983568052449,20190317,1,43.0,glucose
time of max df stderr,0.5963983568052449,20190317,1,43.0,glucose
inverse max df,111.296710182824,20190317,1,43.0,glucose
inverse max df std,0.7169264214177404,20190317,1,43.0,glucose
inverse max df stderr,0.07169264214177404,20190317,1,43.0,glucose
max y,0.20883322660649514,20190317,1,43.0,glucose
max y std,0.0016285190771672493,20190317,1,43.0,glucose
max y stderr,0.00016285190771672496,20190317,1,43.0,glucose
lag time,290.61334459229175,20190317,1,43.0,glucose
lag time std,2.209033705679789,20190317,1,43.0,glucose
lag time stderr,0.2209033705679789,20190317,1,43.0,glucose
max df,0.007411361440857644,20190307,1,42.0,glucose
max df std,5.642463330364984e-05,20190307,1,42.0,glucose
max df stderr,5.642463330364984e-06,20190307,1,42.0,glucose
time of max df,514.8566666666667,20190307,1,42.0,glucose
time of max df std,7.671629553100129,20190307,1,42.0,glucose
time of max df stderr,0.7671629553100128,20190307,1,42.0,glucose
inverse max df,93.5303695895168,20190307,1,42.0,glucose
inverse max df std,0.7123938898465207,20190307,1,42.0,glucose
inverse max df stderr,0.07123938898465207,20190307,1,42.0,glucose
max y,0.25332898959339484,20190307,1,42.0,glucose
max y std,0.002426992198648037,20190307,1,42.0,glucose
max y stderr,0.00024269921986480367,20190307,1,42.0,glucose
lag time,269.6036282533361,20190307,1,42.0,glucose
lag time std,1.9055212784765263,20190307,1,42.0,glucose
lag time stderr,0.19055212784765266,20190307,1,42.0,glucose
max df,0.0033234494846623584,20190124,1,37.0,acetate
max df std,3.4279274182917176e-05,20190124,1,37.0,acetate
max df stderr,3.4279274182917177e-06,20190124,1,37.0,acetate
time of max df,917.4966666666664,20190124,1,37.0,acetate
time of max df std,12.895778378988974,20190124,1,37.0,acetate
time of max df stderr,1.2895778378988976,20190124,1,37.0,acetate
inverse max df,208.58472963097583,20190124,1,37.0,acetate
inverse max df std,2.148268078501135,20190124,1,37.0,acetate
inverse max df stderr,0.21482680785011352,20190124,1,37.0,acetate
max y,0.11566193727369642,20190124,1,37.0,acetate
max y std,0.000743692794030409,20190124,1,37.0,acetate
max y stderr,7.436927940304091e-05,20190124,1,37.0,acetate
lag time,762.6573060098582,20190124,1,37.0,acetate
lag time std,2.7171365466291206,20190124,1,37.0,acetate
lag time stderr,0.2717136546629121,20190124,1,37.0,acetate
max df,0.010452426456329557,20190124,1,37.0,glucose
max df std,6.378646059364988e-05,20190124,1,37.0,glucose
max df stderr,6.378646059364987e-06,20190124,1,37.0,glucose
time of max df,277.06666666666666,20190124,1,37.0,glucose
time of max df std,8.544588931013598,20190124,1,37.0,glucose
time of max df stderr,0.8544588931013596,20190124,1,37.0,glucose
inverse max df,66.3169461164284,20190124,1,37.0,glucose
inverse max df std,0.4048216049509774,20190124,1,37.0,glucose
inverse max df stderr,0.040482160495097744,20190124,1,37.0,glucose
max y,0.15649284607439384,20190124,1,37.0,glucose
max y std,0.0009522470127425207,20190124,1,37.0,glucose
max y stderr,9.52247012742521e-05,20190124,1,37.0,glucose
lag time,204.73527386421372,20190124,1,37.0,glucose
lag time std,1.0507662017660673,20190124,1,37.0,glucose
lag time stderr,0.10507662017660672,20190124,1,37.0,glucose
max df,0.006269296085733936,20190124,1,37.0,glycerol
max df std,4.8170363848391196e-05,20190124,1,37.0,glycerol
max df stderr,4.817036384839119e-06,20190124,1,37.0,glycerol
time of max df,453.7466666666668,20190124,1,37.0,glycerol
time of max df std,5.1267533586081555,20190124,1,37.0,glycerol
time of max df stderr,0.5126753358608155,20190124,1,37.0,glycerol
inverse max df,110.56872857159115,20190124,1,37.0,glycerol
inverse max df std,0.8494571481555792,20190124,1,37.0,glycerol
inverse max df stderr,0.08494571481555792,20190124,1,37.0,glycerol
max y,0.18957147231073435,20190124,1,37.0,glycerol
max y std,0.0015164809728177974,20190124,1,37.0,glycerol
max y stderr,0.00015164809728177974,20190124,1,37.0,glycerol
lag time,314.56212679125144,20190124,1,37.0,glycerol
lag time std,1.9307093661880812,20190124,1,37.0,glycerol
lag time stderr,0.19307093661880811,20190124,1,37.0,glycerol
max df,0.010180854082972422,20190130,1,37.0,glucose
max df std,0.00033207199641131975,20190130,1,37.0,glucose
max df stderr,3.3207199641131984e-05,20190130,1,37.0,glucose
time of max df,311.43666666666667,20190130,1,37.0,glucose
time of max df std,64.61947926128781,20190130,1,37.0,glucose
time of max df stderr,6.461947926128781,20190130,1,37.0,glucose
inverse max df,68.15409855279569,20190130,1,37.0,glucose
inverse max df std,2.1692647821181503,20190130,1,37.0,glucose
inverse max df stderr,0.21692647821181504,20190130,1,37.0,glucose
max y,0.1444015739960762,20190130,1,37.0,glucose
max y std,0.004438828803588165,20190130,1,37.0,glucose
max y stderr,0.0004438828803588166,20190130,1,37.0,glucose
lag time,206.71626986864158,20190130,1,37.0,glucose
lag time std,5.303738863198919,20190130,1,37.0,glucose
lag time stderr,0.5303738863198919,20190130,1,37.0,glucose
max df,0.0034084270164856,20190125,1,37.0,acetate
max df std,2.513920613157381e-05,20190125,1,37.0,acetate
max df stderr,2.513920613157381e-06,20190125,1,37.0,acetate
time of max df,1030.1966666666665,20190125,1,37.0,acetate
time of max df std,20.65403350437888,20190125,1,37.0,acetate
time of max df stderr,2.0654033504378875,20190125,1,37.0,acetate
inverse max df,203.37383546298386,20190125,1,37.0,acetate
inverse max df std,1.4995209558019242,20190125,1,37.0,acetate
inverse max df stderr,0.1499520955801924,20190125,1,37.0,acetate
max y,0.0908684980072423,20190125,1,37.0,acetate
max y std,0.0005541327727501436,20190125,1,37.0,acetate
max y stderr,5.5413277275014356e-05,20190125,1,37.0,acetate
lag time,774.1483322483284,20190125,1,37.0,acetate
lag time std,3.3331640697744747,20190125,1,37.0,acetate
lag time stderr,0.3333164069774475,20190125,1,37.0,acetate
max df,0.010611373513606949,20190125,1,37.0,glucose
max df std,7.93167346957469e-05,20190125,1,37.0,glucose
max df stderr,7.93167346957469e-06,20190125,1,37.0,glucose
time of max df,283.9266666666667,20190125,1,37.0,glucose
time of max df std,11.708219335150847,20190125,1,37.0,glucose
time of max df stderr,1.170821933515085,20190125,1,37.0,glucose
inverse max df,65.32479455793458,20190125,1,37.0,glucose
inverse max df std,0.4868653861731705,20190125,1,37.0,glucose
inverse max df stderr,0.04868653861731705,20190125,1,37.0,glucose
max y,0.12826561251725235,20190125,1,37.0,glucose
max y std,0.0007988978038799718,20190125,1,37.0,glucose
max y stderr,7.988978038799718e-05,20190125,1,37.0,glucose
lag time,231.24987951358793,20190125,1,37.0,glucose
lag time std,0.6589820771953836,20190125,1,37.0,glucose
lag time stderr,0.06589820771953836,20190125,1,37.0,glucose
max df,0.006622109002292772,20190125,1,37.0,glycerol
max df std,3.6466646575130845e-05,20190125,1,37.0,glycerol
max df stderr,3.6466646575130853e-06,20190125,1,37.0,glycerol
time of max df,544.8866666666668,20190125,1,37.0,glycerol
time of max df std,5.136302171796358,20190125,1,37.0,glycerol
time of max df stderr,0.5136302171796359,20190125,1,37.0,glycerol
inverse max df,104.67484245250508,20190125,1,37.0,glycerol
inverse max df std,0.5768735496056276,20190125,1,37.0,glycerol
inverse max df stderr,0.057687354960562764,20190125,1,37.0,glycerol
max y,0.14595076188726766,20190125,1,37.0,glycerol
max y std,0.0009470486211482223,20190125,1,37.0,glycerol
max y stderr,9.470486211482222e-05,20190125,1,37.0,glycerol
lag time,339.31992227008925,20190125,1,37.0,glycerol
lag time std,1.7124952411470935,20190125,1,37.0,glycerol
lag time stderr,0.17124952411470934,20190125,1,37.0,glycerol
max df,0.003264411504581385,20190201,1,37.0,acetate
max df std,2.9620917498451526e-05,20190201,1,37.0,acetate
max df stderr,2.9620917498451517e-06,20190201,1,37.0,acetate
time of max df,1056.5866666666668,20190201,1,37.0,acetate
time of max df std,9.48596858523156,20190201,1,37.0,acetate
time of max df stderr,0.948596858523156,20190201,1,37.0,acetate
inverse max df,212.35199333455014,20190201,1,37.0,acetate
inverse max df std,1.928165218541315,20190201,1,37.0,acetate
inverse max df stderr,0.1928165218541315,20190201,1,37.0,acetate
max y,0.10378795168286482,20190201,1,37.0,acetate
max y std,0.0006698064674076278,20190201,1,37.0,acetate
max y stderr,6.698064674076279e-05,20190201,1,37.0,acetate
lag time,826.955727625141,20190201,1,37.0,acetate
lag time std,3.537934887055921,20190201,1,37.0,acetate
lag time stderr,0.3537934887055921,20190201,1,37.0,acetate
max df,0.00996303084109532,20190201,1,37.0,glucose
max df std,0.00024727378897407433,20190201,1,37.0,glucose
max df stderr,2.472737889740743e-05,20190201,1,37.0,glucose
time of max df,184.59666666666672,20190201,1,37.0,glucose
time of max df std,58.03244868175043,20190201,1,37.0,glucose
time of max df stderr,5.803244868175043,20190201,1,37.0,glucose
inverse max df,69.61230614646625,20190201,1,37.0,glucose
inverse max df std,1.6294164839557623,20190201,1,37.0,glucose
inverse max df stderr,0.16294164839557626,20190201,1,37.0,glucose
max y,0.17615388439573146,20190201,1,37.0,glucose
max y std,0.002280246801668843,20190201,1,37.0,glucose
max y stderr,0.00022802468016688433,20190201,1,37.0,glucose
lag time,106.17615822431598,20190201,1,37.0,glucose
lag time std,2.016671257635249,20190201,1,37.0,glucose
lag time stderr,0.2016671257635249,20190201,1,37.0,glucose
max df,0.006423931840335859,20190201,1,37.0,glycerol
max df std,0.00010781813772437115,20190201,1,37.0,glycerol
max df stderr,1.0781813772437117e-05,20190201,1,37.0,glycerol
time of max df,605.3666666666667,20190201,1,37.0,glycerol
time of max df std,8.742997197757758,20190201,1,37.0,glycerol
time of max df stderr,0.8742997197757758,20190201,1,37.0,glycerol
inverse max df,107.931147534963,20190201,1,37.0,glycerol
inverse max df std,1.8105909592385827,20190201,1,37.0,glycerol
inverse max df stderr,0.18105909592385827,20190201,1,37.0,glycerol
max y,0.18020157791502872,20190201,1,37.0,glycerol
max y std,0.003143400796953657,20190201,1,37.0,glycerol
max y stderr,0.0003143400796953657,20190201,1,37.0,glycerol
lag time,432.0133763949847,20190201,1,37.0,glycerol
lag time std,5.402515147633463,20190201,1,37.0,glycerol
lag time stderr,0.5402515147633463,20190201,1,37.0,glycerol
