value,parameter,carbon,temp
-14.16125255008929,epRA,acetate,37
-14.23983498556917,epRA,acetate,37
-14.363542237838164,epRA,acetate,37
-14.333782172005362,epRA,acetate,37
-14.043596030191392,epRA,acetate,37
-13.975376663042915,epRA,acetate,37
-14.20218461414167,epRA,acetate,37
-13.946890369609632,epRA,acetate,37
-14.399091464098635,epRA,acetate,37
-14.237704698492871,epRA,acetate,37
-14.198100640495825,epRA,acetate,37
-14.126781558308172,epRA,acetate,37
-13.995406863401604,epRA,acetate,37
-14.136348531648276,epRA,acetate,37
-14.063286316011666,epRA,acetate,37
-14.269218163875045,epRA,acetate,37
-14.1771733942396,epRA,acetate,37
-14.181829891245032,epRA,acetate,37
-14.196722298871615,epRA,acetate,37
-14.144089582025718,epRA,acetate,37
-14.25130145581187,epRA,acetate,37
-14.29940189352977,epRA,acetate,37
-14.163206315812808,epRA,acetate,37
-14.13622628837498,epRA,acetate,37
-14.303647353562608,epRA,acetate,37
-14.213755737834461,epRA,acetate,37
-14.301009480493477,epRA,acetate,37
-14.102384165502563,epRA,acetate,37
-14.160488468635414,epRA,acetate,37
-14.066556173259245,epRA,acetate,37
-14.044899029833532,epRA,acetate,37
-13.954935481437156,epRA,acetate,37
-13.942530777532998,epRA,acetate,37
-14.057364029635629,epRA,acetate,37
-14.245286773881338,epRA,acetate,37
-14.2286447039324,epRA,acetate,37
-14.293915396291352,epRA,acetate,37
-14.361277695857725,epRA,acetate,37
-14.20168625715904,epRA,acetate,37
-14.352072897699813,epRA,acetate,37
-14.269918075962266,epRA,acetate,37
-14.279745285148394,epRA,acetate,37
-14.11217136917641,epRA,acetate,37
-14.062790271581125,epRA,acetate,37
-14.330451997552867,epRA,acetate,37
-13.977477989748284,epRA,acetate,37
-13.960639413798786,epRA,acetate,37
-13.955566032896435,epRA,acetate,37
-13.914306126844474,epRA,acetate,37
-14.026422063955813,epRA,acetate,37
-14.293949279317598,epRA,acetate,37
-14.382543597722155,epRA,acetate,37
-13.947886920943699,epRA,acetate,37
-13.944344632796138,epRA,acetate,37
-14.02455735995692,epRA,acetate,37
-14.10804117569686,epRA,acetate,37
-14.030604447112802,epRA,acetate,37
-14.259499777264375,epRA,acetate,37
-14.091863504270831,epRA,acetate,37
-14.241454542992365,epRA,acetate,37
-13.925204145952002,epRA,acetate,37
-14.074834510288428,epRA,acetate,37
-14.27064515413122,epRA,acetate,37
-13.956247920970894,epRA,acetate,37
-14.091807459031335,epRA,acetate,37
-13.980241769767403,epRA,acetate,37
-14.022901379302086,epRA,acetate,37
-14.006890217863836,epRA,acetate,37
-14.23084204913761,epRA,acetate,37
-13.989743960370829,epRA,acetate,37
-14.030836509674684,epRA,acetate,37
-14.216058388515703,epRA,acetate,37
-14.22097232548517,epRA,acetate,37
-14.210896806709211,epRA,acetate,37
-13.995887350276186,epRA,acetate,37
-14.167755244922397,epRA,acetate,37
-14.168610134870018,epRA,acetate,37
-14.24296453187644,epRA,acetate,37
-14.220360038876175,epRA,acetate,37
-14.104053921468132,epRA,acetate,37
-14.375287535386205,epRA,acetate,37
-14.380645273389803,epRA,acetate,37
-14.429911753474368,epRA,acetate,37
-14.457356881354881,epRA,acetate,37
-14.429909164647066,epRA,acetate,37
-14.405759168077823,epRA,acetate,37
-13.922497904982702,epRA,acetate,37
-13.907542531147898,epRA,acetate,37
-14.15221553913369,epRA,acetate,37
-14.02804076448511,epRA,acetate,37
-13.924040078775752,epRA,acetate,37
-14.118286819969772,epRA,acetate,37
-14.112707841635315,epRA,acetate,37
-13.957634534711337,epRA,acetate,37
-14.220595253643129,epRA,acetate,37
-14.186563307783015,epRA,acetate,37
-14.215260865065844,epRA,acetate,37
-14.055035994833169,epRA,acetate,37
-14.072858704541199,epRA,acetate,37
-14.417583737827064,epRA,acetate,37
-13.931300257081896,epRA,acetate,37
-14.215723892876083,epRA,acetate,37
-14.411289146191935,epRA,acetate,37
-14.35591714308198,epRA,acetate,37
-14.029027494759129,epRA,acetate,37
-14.097010317728595,epRA,acetate,37
-14.10505264143996,epRA,acetate,37
-14.106077684407463,epRA,acetate,37
-14.085860351568517,epRA,acetate,37
-14.045766972744701,epRA,acetate,37
-14.103372265198622,epRA,acetate,37
-14.422593466350802,epRA,acetate,37
-14.415199447832817,epRA,acetate,37
-14.173324832298041,epRA,acetate,37
-14.163734238408669,epRA,acetate,37
-14.177247563762736,epRA,acetate,37
-14.189398456218024,epRA,acetate,37
-14.06537152277704,epRA,acetate,37
-13.848670341693365,epRA,acetate,37
-13.860119938497895,epRA,acetate,37
-14.113897424478042,epRA,acetate,37
-14.112405307605298,epRA,acetate,37
-14.158613223716102,epRA,acetate,37
-14.382766965803304,epRA,acetate,37
-14.207324049168328,epRA,acetate,37
-14.29229360239693,epRA,acetate,37
-14.10304107709337,epRA,acetate,37
-14.003154225636633,epRA,acetate,37
-13.987409590015453,epRA,acetate,37
-14.020057296805096,epRA,acetate,37
-14.067540064662744,epRA,acetate,37
-14.090833543268511,epRA,acetate,37
-14.240628242564574,epRA,acetate,37
-14.070073552410571,epRA,acetate,37
-14.024609467060138,epRA,acetate,37
-14.058401170869367,epRA,acetate,37
-13.967592611523829,epRA,acetate,37
-14.133057871035529,epRA,acetate,37
-14.110262749277087,epRA,acetate,37
-14.165774518407888,epRA,acetate,37
-14.108279514439824,epRA,acetate,37
-13.987024826550751,epRA,acetate,37
-14.165428036544279,epRA,acetate,37
-14.153223008702408,epRA,acetate,37
-14.273171045869367,epRA,acetate,37
-14.167372117480005,epRA,acetate,37
-14.155601236049186,epRA,acetate,37
-14.184440785756887,epRA,acetate,37
-14.031439756260617,epRA,acetate,37
-14.197455312098601,epRA,acetate,37
-14.17442492215015,epRA,acetate,37
-13.933437720551657,epRA,acetate,37
-14.334384518216769,epRA,acetate,37
-14.356476517383095,epRA,acetate,37
-14.129330041004293,epRA,acetate,37
-14.11105893948882,epRA,acetate,37
-14.096512409744781,epRA,acetate,37
-14.188555066506018,epRA,acetate,37
-14.101631326722293,epRA,acetate,37
-14.204102242675274,epRA,acetate,37
-14.132794225083185,epRA,acetate,37
-14.069168921245401,epRA,acetate,37
-14.066656675485085,epRA,acetate,37
-14.085503326670285,epRA,acetate,37
-14.15659722363356,epRA,acetate,37
-14.0212444805971,epRA,acetate,37
-13.995972088682654,epRA,acetate,37
-14.013852318302234,epRA,acetate,37
-14.031736805269208,epRA,acetate,37
-14.34829147474769,epRA,acetate,37
-14.301942220085081,epRA,acetate,37
-14.161864380750364,epRA,acetate,37
-14.138084407663706,epRA,acetate,37
-14.195625714949923,epRA,acetate,37
-14.020880571974898,epRA,acetate,37
-14.092615782623048,epRA,acetate,37
-14.335727011782565,epRA,acetate,37
-13.910206744082519,epRA,acetate,37
-14.026385795439168,epRA,acetate,37
-14.254314474586167,epRA,acetate,37
-14.2498751885205,epRA,acetate,37
-14.154625466226706,epRA,acetate,37
-14.179932989057336,epRA,acetate,37
-14.33150634676523,epRA,acetate,37
-14.073951265633285,epRA,acetate,37
-14.236730321091718,epRA,acetate,37
-14.227718076900908,epRA,acetate,37
-14.306694395065534,epRA,acetate,37
-14.071174575677238,epRA,acetate,37
-14.07103833122395,epRA,acetate,37
-14.105389546817044,epRA,acetate,37
-14.133889633243808,epRA,acetate,37
-14.12068236848424,epRA,acetate,37
-14.118552829897055,epRA,acetate,37
-14.04408623267168,epRA,acetate,37
-13.960050755317319,epRA,acetate,37
-14.06996375556227,epRA,acetate,37
-13.982057454111406,epRA,acetate,37
-14.074248419547915,epRA,acetate,37
-13.997902656883497,epRA,acetate,37
-14.02934136394374,epRA,acetate,37
-14.030625316080128,epRA,acetate,37
-14.135220446379224,epRA,acetate,37
-14.133918679939471,epRA,acetate,37
-14.126333857358143,epRA,acetate,37
-14.243052569156827,epRA,acetate,37
-14.1846268432569,epRA,acetate,37
-14.217321903787173,epRA,acetate,37
-14.05176865315208,epRA,acetate,37
-14.086297300754708,epRA,acetate,37
-14.298936087805068,epRA,acetate,37
-14.039411281907002,epRA,acetate,37
-14.221268111389495,epRA,acetate,37
-14.064965441113246,epRA,acetate,37
-14.19217634840532,epRA,acetate,37
-14.333374307672786,epRA,acetate,37
-13.944656460709094,epRA,acetate,37
-13.993558027998835,epRA,acetate,37
-14.043703489935723,epRA,acetate,37
-14.037530553810612,epRA,acetate,37
-14.062027061488351,epRA,acetate,37
-14.203664477705178,epRA,acetate,37
-14.25129538795502,epRA,acetate,37
-14.25224097034723,epRA,acetate,37
-14.11525785568025,epRA,acetate,37
-14.192419240391716,epRA,acetate,37
-14.063724633220701,epRA,acetate,37
-14.041611738520523,epRA,acetate,37
-14.20087307345841,epRA,acetate,37
-14.046574104351498,epRA,acetate,37
-14.178874282062965,epRA,acetate,37
-14.071965990696963,epRA,acetate,37
-14.220153995541667,epRA,acetate,37
-14.269438077663013,epRA,acetate,37
-14.357547335239786,epRA,acetate,37
-14.262638617621057,epRA,acetate,37
-14.101621038882236,epRA,acetate,37
-13.967743169501649,epRA,acetate,37
-14.317955821335378,epRA,acetate,37
-14.091824001346898,epRA,acetate,37
-14.054423976017615,epRA,acetate,37
-14.04164847833826,epRA,acetate,37
-14.096412730600017,epRA,acetate,37
-14.162863455303993,epRA,acetate,37
-14.209383126049604,epRA,acetate,37
-14.108910717106001,epRA,acetate,37
-14.096955500323803,epRA,acetate,37
-13.920779555256397,epRA,acetate,37
-14.013131831024674,epRA,acetate,37
-14.272315362968698,epRA,acetate,37
-14.388047243863136,epRA,acetate,37
-13.962175204727423,epRA,acetate,37
-14.245948827069444,epRA,acetate,37
-14.122969443744552,epRA,acetate,37
-14.164616899952545,epRA,acetate,37
-14.269215976128681,epRA,acetate,37
-14.190352433847863,epRA,acetate,37
-14.069578807345467,epRA,acetate,37
-13.919421177049312,epRA,acetate,37
-13.919658197918318,epRA,acetate,37
-14.051868642272686,epRA,acetate,37
-14.096263538285452,epRA,acetate,37
-14.07695566734219,epRA,acetate,37
-14.172794654611184,epRA,acetate,37
-14.03370773956952,epRA,acetate,37
-13.951798356652377,epRA,acetate,37
-14.169074446137829,epRA,acetate,37
-14.039983332446498,epRA,acetate,37
-14.105871126428012,epRA,acetate,37
-14.110296349738505,epRA,acetate,37
-13.904026460324141,epRA,acetate,37
-13.915790985780804,epRA,acetate,37
-14.16913547183663,epRA,acetate,37
-14.1002824273982,epRA,acetate,37
-14.036716325441517,epRA,acetate,37
-14.06098800195136,epRA,acetate,37
-14.140154386240058,epRA,acetate,37
-14.115199239361559,epRA,acetate,37
-13.918791074989063,epRA,acetate,37
-13.941769310528608,epRA,acetate,37
-14.480655932524211,epRA,acetate,37
-14.399200907830155,epRA,acetate,37
-14.407573774264474,epRA,acetate,37
-14.432475512884839,epRA,acetate,37
-14.443526348710181,epRA,acetate,37
-14.359965682892916,epRA,acetate,37
-14.413153648992695,epRA,acetate,37
-13.999063701077311,epRA,acetate,37
-14.320448498490078,epRA,acetate,37
-14.364375581052933,epRA,acetate,37
-14.191060165775983,epRA,acetate,37
-13.890508017002295,epRA,acetate,37
-14.080782525534289,epRA,acetate,37
-14.22226529569761,epRA,acetate,37
-14.10641908029966,epRA,acetate,37
-14.151345562432619,epRA,acetate,37
-14.133633649973941,epRA,acetate,37
-14.060492001747425,epRA,acetate,37
-14.090235612142926,epRA,acetate,37
-14.28563120349022,epRA,acetate,37
-14.23486724663164,epRA,acetate,37
-14.138787314434586,epRA,acetate,37
-14.219447880632638,epRA,acetate,37
-14.159611182307694,epRA,acetate,37
-14.082824801960765,epRA,acetate,37
-14.171899565679741,epRA,acetate,37
-14.028294146011012,epRA,acetate,37
-14.165635272739692,epRA,acetate,37
-14.274568080510264,epRA,acetate,37
-14.051253207267848,epRA,acetate,37
-13.875219727988261,epRA,acetate,37
-13.926067501731515,epRA,acetate,37
-14.256895244792675,epRA,acetate,37
-14.18413666186761,epRA,acetate,37
-14.197870157061022,epRA,acetate,37
-14.207878395888246,epRA,acetate,37
-14.159134731761517,epRA,acetate,37
-14.089513354428846,epRA,acetate,37
-14.104543382605168,epRA,acetate,37
-14.273062065649475,epRA,acetate,37
-14.200947256477148,epRA,acetate,37
-14.069669209440768,epRA,acetate,37
-14.1902063351024,epRA,acetate,37
-13.919570387465566,epRA,acetate,37
-14.044425295671845,epRA,acetate,37
-14.06898837665461,epRA,acetate,37
-14.099771173250083,epRA,acetate,37
-13.956638553204252,epRA,acetate,37
-14.4401727868726,epRA,acetate,37
-14.068163512726978,epRA,acetate,37
-14.074786689796557,epRA,acetate,37
-14.188860988863198,epRA,acetate,37
-14.143206988941609,epRA,acetate,37
-14.012704539340223,epRA,acetate,37
-14.068598092540663,epRA,acetate,37
-14.057248569549028,epRA,acetate,37
-14.047001887011353,epRA,acetate,37
-14.201517943778807,epRA,acetate,37
-14.394700421441708,epRA,acetate,37
-14.010570491286273,epRA,acetate,37
-13.96124637752397,epRA,acetate,37
-14.172399375502273,epRA,acetate,37
-14.195385550083145,epRA,acetate,37
-14.187905034603723,epRA,acetate,37
-14.11459968741373,epRA,acetate,37
-14.204324905433337,epRA,acetate,37
-13.97595096300867,epRA,acetate,37
-14.137473408286871,epRA,acetate,37
-14.154848390529775,epRA,acetate,37
-14.172494824492782,epRA,acetate,37
-14.095685959940365,epRA,acetate,37
-14.181288067227333,epRA,acetate,37
-14.133963795675772,epRA,acetate,37
-14.09168709150293,epRA,acetate,37
-14.15977000390478,epRA,acetate,37
-14.18214112402971,epRA,acetate,37
-14.059491774416164,epRA,acetate,37
-14.06815358335976,epRA,acetate,37
-14.084805153002709,epRA,acetate,37
-14.104256652305892,epRA,acetate,37
-14.126342432778053,epRA,acetate,37
-14.16106948285102,epRA,acetate,37
-14.147345321967762,epRA,acetate,37
-13.928184680768297,epRA,acetate,37
-14.086575096471643,epRA,acetate,37
-14.029560073180285,epRA,acetate,37
-13.93747029860363,epRA,acetate,37
-14.189779675539189,epRA,acetate,37
-14.07600363364313,epRA,acetate,37
-14.083399233283352,epRA,acetate,37
-13.946629794766006,epRA,acetate,37
-13.999980206118627,epRA,acetate,37
-14.206137487677559,epRA,acetate,37
-14.13252526039021,epRA,acetate,37
-14.022737744661125,epRA,acetate,37
-14.20046325372001,epRA,acetate,37
-14.181378160070038,epRA,acetate,37
-14.167674982709471,epRA,acetate,37
-14.279252504193922,epRA,acetate,37
-13.960150869900003,epRA,acetate,37
-14.042933285717496,epRA,acetate,37
-14.161108768860338,epRA,acetate,37
-14.055586889313199,epRA,acetate,37
-14.07364326499393,epRA,acetate,37
-14.127461929526634,epRA,acetate,37
-14.106673344334606,epRA,acetate,37
-14.113606544839918,epRA,acetate,37
-14.0160543961407,epRA,acetate,37
-14.053371780911727,epRA,acetate,37
-14.271832158844408,epRA,acetate,37
-14.258816125921982,epRA,acetate,37
-14.307473780672648,epRA,acetate,37
-14.340045979967023,epRA,acetate,37
-14.33384477342762,epRA,acetate,37
-14.09259739696198,epRA,acetate,37
-14.149166755581472,epRA,acetate,37
-14.139836811940334,epRA,acetate,37
-14.144682008298552,epRA,acetate,37
-14.253311851619953,epRA,acetate,37
-14.051168377530981,epRA,acetate,37
-14.031545375747971,epRA,acetate,37
-14.091601382731758,epRA,acetate,37
-14.285752229849836,epRA,acetate,37
-14.011253585858077,epRA,acetate,37
-14.040392712280902,epRA,acetate,37
-14.04054020758425,epRA,acetate,37
-14.03719486156299,epRA,acetate,37
-13.979945424646358,epRA,acetate,37
-14.266710730094397,epRA,acetate,37
-14.26951665730736,epRA,acetate,37
-14.11924632415963,epRA,acetate,37
-13.98888315500157,epRA,acetate,37
-14.00948406989309,epRA,acetate,37
-14.232758978528786,epRA,acetate,37
-14.217337234257252,epRA,acetate,37
-14.172484673956399,epRA,acetate,37
-14.405777295564592,epRA,acetate,37
-13.87936767552169,epRA,acetate,37
-14.333403085616434,epRA,acetate,37
-13.961372324422221,epRA,acetate,37
-14.291591075078376,epRA,acetate,37
-14.181070067652646,epRA,acetate,37
-14.047596926050383,epRA,acetate,37
-14.052987982837841,epRA,acetate,37
-14.213908744975035,epRA,acetate,37
-14.10082138300487,epRA,acetate,37
-14.132458823356222,epRA,acetate,37
-14.110944505336377,epRA,acetate,37
-13.985503872494698,epRA,acetate,37
-14.028883270531388,epRA,acetate,37
-14.083665120700163,epRA,acetate,37
-14.162420941486271,epRA,acetate,37
-14.069202361694488,epRA,acetate,37
-13.965869500999348,epRA,acetate,37
-14.092626033726534,epRA,acetate,37
-14.174584119196492,epRA,acetate,37
-14.153140958136746,epRA,acetate,37
-14.073305338019859,epRA,acetate,37
-14.117525434558019,epRA,acetate,37
-13.885646421833256,epRA,acetate,37
-14.339662398650072,epRA,acetate,37
-14.075489504899355,epRA,acetate,37
