strain,area_pix,mean_yfp,mean_mCherry,fold_change,atc_ngml,date,carbon,temp,operator,run_number
delta,383.0,1125.5352480417755,191.43864229765012,1.133403359294802,0.0,20181004,glucose,37,O2,1
delta,566.0,923.7155477031802,190.85512367491165,0.8954189049055953,0.0,20181004,glucose,37,O2,1
delta,672.0,933.7232142857143,194.20684523809524,0.9072198790788684,0.0,20181004,glucose,37,O2,1
delta,373.0,1052.201072386059,193.1769436997319,1.0469281849078227,0.0,20181004,glucose,37,O2,1
delta,346.0,1088.6560693641618,190.82369942196533,1.0899156759755362,0.0,20181004,glucose,37,O2,1
delta,288.0,1096.6909722222222,192.73611111111111,1.0993903802265963,0.0,20181004,glucose,37,O2,1
delta,550.0,768.72,179.55818181818182,0.7126491812809311,0.0,20181004,glucose,37,O2,1
delta,715.0,1168.5482517482517,187.8097902097902,1.1841240084759914,0.0,20181004,glucose,37,O2,1
delta,588.0,914.75,190.1904761904762,0.8848467904149778,0.0,20181004,glucose,37,O2,1
delta,640.0,949.2,184.321875,0.9254700023212157,0.0,20181004,glucose,37,O2,1
delta,641.0,1096.1045241809672,188.1606864274571,1.0986988445792263,0.0,20181004,glucose,37,O2,1
delta,577.0,1239.6932409012131,183.35875216637783,1.2680177086335456,0.0,20181004,glucose,37,O2,1
delta,741.0,844.4669365721998,180.24561403508773,0.8019694673657156,0.0,20181004,glucose,37,O2,1
delta,357.0,979.4733893557423,185.23809523809524,0.9611681826091216,0.0,20181004,glucose,37,O2,1
delta,578.0,732.2785467128027,185.47231833910035,0.6696776608438605,0.0,20181004,glucose,37,O2,1
delta,355.0,909.7887323943662,185.78591549295774,0.8789964965030121,0.0,20181004,glucose,37,O2,1
delta,522.0,799.8352490421456,179.72988505747125,0.7493400769370834,0.0,20181004,glucose,37,O2,1
delta,775.0,970.4258064516129,184.59354838709677,0.9504993327527006,0.0,20181004,glucose,37,O2,1
delta,705.0,683.3106382978723,189.2936170212766,0.6119350274579399,0.0,20181004,glucose,37,O2,1
delta,579.0,648.66493955095,189.72538860103626,0.5710810488850544,0.0,20181004,glucose,37,O2,1
delta,452.0,1139.0199115044247,189.08849557522123,1.149304385167879,0.0,20181004,glucose,37,O2,1
delta,514.0,1363.103112840467,189.53696498054475,1.4135418125264334,0.0,20181004,glucose,37,O2,1
delta,351.0,1204.4074074074074,189.2849002849003,1.2264088874054733,0.0,20181004,glucose,37,O2,1
delta,497.0,1422.4104627766599,189.5271629778672,1.4834766468966907,0.0,20181004,glucose,37,O2,1
delta,687.0,1187.5531295487626,189.5254730713246,1.2065344345468858,0.0,20181004,glucose,37,O2,1
delta,771.0,1035.1206225680935,189.5603112840467,1.026787031572291,0.0,20181004,glucose,37,O2,1
delta,614.0,754.657980456026,188.92182410423453,0.6960673409394359,0.0,20181004,glucose,37,O2,1
delta,725.0,806.4331034482759,180.32,0.7571202231683384,0.0,20181004,glucose,37,O2,1
delta,824.0,1357.128640776699,187.53276699029126,1.406496754625872,0.0,20181004,glucose,37,O2,1
delta,626.0,1028.0686900958467,188.5814696485623,1.018471439491926,0.0,20181004,glucose,37,O2,1
delta,826.0,770.0205811138014,193.37409200968523,0.7141828179191664,0.0,20181004,glucose,37,O2,1
delta,590.0,1026.2898305084746,194.53389830508473,1.0163738200443424,0.0,20181004,glucose,37,O2,1
delta,382.0,1799.0523560209424,190.15183246073298,1.9276102736609604,0.0,20181004,glucose,37,O2,1
delta,580.0,1247.941379310345,190.3655172413793,1.2777438588345948,0.0,20181004,glucose,37,O2,1
delta,314.0,1695.1114649681529,190.24522292993632,1.8050438631250925,0.0,20181004,glucose,37,O2,1
delta,727.0,967.5722145804676,189.07015130674003,0.9471343961119038,0.0,20181004,glucose,37,O2,1
delta,859.0,820.4819557625145,194.24330616996508,0.7736865367997101,0.0,20181004,glucose,37,O2,1
delta,577.0,704.4402079722704,192.66204506065858,0.6368508761189179,0.0,20181004,glucose,37,O2,1
delta,688.0,964.4316860465116,191.25726744186048,0.9434311056581307,0.0,20181004,glucose,37,O2,1
delta,578.0,1019.8979238754325,193.7024221453287,1.008836526063531,0.0,20181004,glucose,37,O2,1
delta,574.0,1004.5226480836237,196.33101045296166,0.9907061026496704,0.0,20181004,glucose,37,O2,1
delta,587.0,1017.8620102214651,191.45485519591142,1.0064357901625753,0.0,20181004,glucose,37,O2,1
delta,329.0,265.0060790273556,194.90273556231003,0.11867306076442422,0.0,20181004,glucose,37,O2,1
delta,349.0,1054.5558739255014,195.95988538681948,1.0497049512919707,0.0,20181004,glucose,37,O2,1
delta,617.0,1131.4084278768232,196.15883306320907,1.1403289740699134,0.0,20181004,glucose,37,O2,1
delta,341.0,1174.6011730205278,193.85630498533723,1.1912615731638128,0.0,20181004,glucose,37,O2,1
delta,614.0,1281.3110749185669,194.1058631921824,1.317093182954753,0.0,20181004,glucose,37,O2,1
delta,341.0,1239.8680351906157,194.96774193548387,1.2682238249022946,0.0,20181004,glucose,37,O2,1
delta,338.0,438.8431952662722,188.18639053254438,0.32366063725623273,0.0,20181004,glucose,37,O2,1
delta,388.0,751.090206185567,187.68041237113403,0.6918602451419763,0.0,20181004,glucose,37,O2,1
delta,640.0,1018.9890625,195.4109375,1.0077648027472004,0.0,20181004,glucose,37,O2,1
delta,884.0,1032.8325791855204,185.48529411764707,1.0240889859647166,0.0,20181004,glucose,37,O2,1
delta,655.0,988.4458015267176,180.3648854961832,0.9717483916347134,0.0,20181004,glucose,37,O2,1
delta,935.0,1160.951871657754,190.4716577540107,1.175166407368978,0.0,20181004,glucose,37,O2,1
delta,761.0,844.6990801576873,176.9119579500657,0.8022432095446976,0.0,20181004,glucose,37,O2,1
delta,511.0,639.146771037182,194.63013698630138,0.5598572875934993,0.0,20181004,glucose,37,O2,1
delta,408.0,1000.7573529411765,183.99264705882354,0.9862660915477498,0.0,20181004,glucose,37,O2,1
delta,403.0,1101.6029776674939,184.1315136476427,1.105182584525228,0.0,20181004,glucose,37,O2,1
delta,403.0,950.4913151364764,177.40942928039703,0.9269927125803393,0.0,20181004,glucose,37,O2,1
delta,378.0,1057.3015873015872,177.34391534391534,1.0529426783256581,0.0,20181004,glucose,37,O2,1
delta,335.0,941.3074626865672,184.2537313432836,0.9161631745777767,0.0,20181004,glucose,37,O2,1
delta,273.0,675.080586080586,175.88278388278388,0.6022302043745663,0.0,20181004,glucose,37,O2,1
delta,324.0,946.8395061728395,184.88888888888889,0.922686523629079,0.0,20181004,glucose,37,O2,1
delta,577.0,1184.0346620450607,179.4367417677643,1.2023854809623258,0.0,20181004,glucose,37,O2,1
delta,252.0,882.1468253968254,183.93253968253967,0.8464013427888288,0.0,20181004,glucose,37,O2,1
delta,291.0,884.0034364261169,184.2164948453608,0.8485906462219308,0.0,20181004,glucose,37,O2,1
delta,747.0,813.9705488621152,184.11512717536814,0.7660083288948432,0.0,20181004,glucose,37,O2,1
delta,658.0,981.3784194528876,182.17477203647417,0.9634145814864538,0.0,20181004,glucose,37,O2,1
delta,508.0,1031.748031496063,185.53149606299212,1.0228100945101086,0.0,20181004,glucose,37,O2,1
delta,603.0,1017.2951907131012,186.20398009950247,1.0057674003512298,0.0,20181004,glucose,37,O2,1
delta,862.0,835.9443155452436,187.1879350348028,0.79191964907908,0.0,20181004,glucose,37,O2,1
delta,375.0,1394.6213333333333,187.57333333333332,1.4507078894491978,0.0,20181004,glucose,37,O2,1
delta,544.0,1106.3069852941176,187.30514705882354,1.1107295191732658,0.0,20181004,glucose,37,O2,1
delta,688.0,1246.8502906976744,180.34883720930233,1.2764572543666413,0.0,20181004,glucose,37,O2,1
delta,489.0,901.2024539877301,186.86912065439674,0.8688716138557341,0.0,20181004,glucose,37,O2,1
delta,428.0,829.2850467289719,181.08177570093457,0.7840670833820116,0.0,20181004,glucose,37,O2,1
delta,662.0,890.0438066465257,188.75528700906344,0.855713410792491,0.0,20181004,glucose,37,O2,1
delta,414.0,1024.1062801932367,189.87922705314008,1.0137989919699204,0.0,20181004,glucose,37,O2,1
delta,670.0,1060.1820895522387,189.70149253731344,1.056339347507795,0.0,20181004,glucose,37,O2,1
delta,799.0,1001.3354192740926,186.15269086357947,0.9869477435401421,0.0,20181004,glucose,37,O2,1
delta,388.0,769.2113402061856,192.04123711340208,0.7132285663988972,0.0,20181004,glucose,37,O2,1
delta,539.0,786.6771799628942,189.69387755102042,0.7338241689985248,0.0,20181004,glucose,37,O2,1
delta,510.0,761.4450980392157,190.04117647058823,0.704070665055966,0.0,20181004,glucose,37,O2,1
delta,698.0,830.7220630372493,191.59312320916905,0.7857616034982342,0.0,20181004,glucose,37,O2,1
delta,642.0,1206.8582554517134,193.54205607476635,1.2292989111922317,0.0,20181004,glucose,37,O2,1
delta,761.0,853.7647831800263,192.68725361366623,0.8129334265245379,0.0,20181004,glucose,37,O2,1
delta,705.0,1149.0765957446808,189.86808510638298,1.1611631606385915,0.0,20181004,glucose,37,O2,1
delta,610.0,807.7622950819672,184.4262295081967,0.7586875971421972,0.0,20181004,glucose,37,O2,1
delta,802.0,921.1895261845386,192.76807980049875,0.8924402370556245,0.0,20181004,glucose,37,O2,1
delta,258.0,609.2054263565891,194.95348837209303,0.5245506521880585,0.0,20181004,glucose,37,O2,1
delta,805.0,1192.326708074534,191.03726708074535,1.2121634067385687,0.0,20181004,glucose,37,O2,1
delta,677.0,1222.344165435746,194.92171344165436,1.2475597937130527,0.0,20181004,glucose,37,O2,1
delta,403.0,1147.3225806451612,195.77171215880892,1.159094837646588,0.0,20181004,glucose,37,O2,1
delta,497.0,1289.0684104627767,182.39839034205232,1.3262405816670964,0.0,20181004,glucose,37,O2,1
delta,781.0,1347.674775928297,195.0089628681178,1.395348819790761,0.0,20181004,glucose,37,O2,1
delta,630.0,776.5301587301587,187.3047619047619,0.7218588687444025,0.0,20181004,glucose,37,O2,1
delta,822.0,836.8418491484185,193.90632603406326,0.7929780147613656,0.0,20181004,glucose,37,O2,1
delta,670.0,1165.4507462686568,197.51940298507463,1.180471450523065,0.0,20181004,glucose,37,O2,1
delta,499.0,871.2384769539078,193.40280561122245,0.8335382905292142,0.0,20181004,glucose,37,O2,1
delta,658.0,1007.4848024316109,197.63981762917933,0.994199055444366,0.0,20181004,glucose,37,O2,1
delta,883.0,904.5050962627406,192.13250283125709,0.872766067759602,0.0,20181004,glucose,37,O2,1
delta,560.0,1311.5982142857142,190.25714285714287,1.352807577165069,0.0,20181004,glucose,37,O2,1
delta,764.0,835.7892670157069,191.3089005235602,0.7917368168796279,0.0,20181004,glucose,37,O2,1
delta,553.0,1145.2296564195299,190.41591320072334,1.1566268752569937,0.0,20181004,glucose,37,O2,1
delta,768.0,1201.59375,181.44140625,1.2230910412199096,0.0,20181004,glucose,37,O2,1
delta,565.0,811.3646017699115,198.72566371681415,0.762935413337716,0.0,20181004,glucose,37,O2,1
delta,449.0,868.1358574610244,194.1358574610245,0.829879702165678,0.0,20181004,glucose,37,O2,1
delta,413.0,1091.27602905569,200.64164648910412,1.0930051150970095,0.0,20181004,glucose,37,O2,1
delta,905.0,1049.9281767955802,190.54033149171272,1.0442480014763924,0.0,20181004,glucose,37,O2,1
delta,426.0,1200.0469483568074,201.30046948356807,1.2212670629636446,0.0,20181004,glucose,37,O2,1
delta,704.0,1074.9545454545455,202.6122159090909,1.0737589296992307,0.0,20181004,glucose,37,O2,1
delta,492.0,929.5975609756098,194.7418699186992,0.902354936011581,0.0,20181004,glucose,37,O2,1
delta,525.0,323.69904761904763,204.23238095238096,0.18788342072107053,0.0,20181004,glucose,37,O2,1
delta,525.0,1205.8380952380953,195.75809523809525,1.2280959450228235,0.0,20181004,glucose,37,O2,1
delta,570.0,1173.5508771929824,195.66842105263157,1.1900230712779896,0.0,20181004,glucose,37,O2,1
delta,761.0,1001.7187910643889,192.56373193166885,0.9873998130169515,0.0,20181004,glucose,37,O2,1
delta,625.0,957.3872,194.3264,0.9351242943536902,0.0,20181004,glucose,37,O2,1
delta,289.0,325.43598615916954,205.18685121107268,0.18993160714729648,0.0,20181004,glucose,37,O2,1
delta,414.0,1029.6980676328503,198.9951690821256,1.0203927906954375,0.0,20181004,glucose,37,O2,1
delta,607.0,1024.66392092257,195.76441515650743,1.0144565582258058,0.0,20181004,glucose,37,O2,1
delta,496.0,795.8346774193549,200.19354838709677,0.7446226293673095,0.0,20181004,glucose,37,O2,1
delta,461.0,970.8524945770065,195.75488069414317,0.9510024805650589,0.0,20181004,glucose,37,O2,1
delta,461.0,328.96746203904553,205.01518438177874,0.19409590012291245,0.0,20181004,glucose,37,O2,1
delta,565.0,869.8495575221239,193.41592920353983,0.8319004859313027,0.0,20181004,glucose,37,O2,1
delta,497.0,981.7847082494969,196.4527162977867,0.9638936745453738,0.0,20181004,glucose,37,O2,1
delta,442.0,913.9954751131222,195.94796380090497,0.8839570596640876,0.0,20181004,glucose,37,O2,1
delta,543.0,1005.7937384898711,195.68508287292818,0.9922049640408162,0.0,20181004,glucose,37,O2,1
delta,708.0,1057.8022598870057,196.35734463276836,1.0535330681234258,0.0,20181004,glucose,37,O2,1
delta,590.0,1535.579661016949,201.18983050847459,1.6169250161673527,0.0,20181004,glucose,37,O2,1
delta,329.0,1901.109422492401,200.89057750759878,2.0479552907233427,0.0,20181004,glucose,37,O2,1
delta,290.0,1251.0689655172414,201.75862068965517,1.2814318877819904,0.0,20181004,glucose,37,O2,1
delta,247.0,1397.1781376518218,200.05263157894737,1.453722856172935,0.0,20181004,glucose,37,O2,1
delta,516.0,1024.2383720930231,195.25387596899225,1.013954753863567,0.0,20181004,glucose,37,O2,1
delta,370.0,1936.1567567567567,201.47297297297297,2.089282875239153,0.0,20181004,glucose,37,O2,1
delta,374.0,1782.673796791444,200.99197860962568,1.908296785060125,0.0,20181004,glucose,37,O2,1
delta,359.0,1250.2590529247911,202.87465181058496,1.2804768442154117,0.0,20181004,glucose,37,O2,1
delta,715.0,1742.5188811188812,203.36083916083916,1.8609463743650994,0.0,20181004,glucose,37,O2,1
delta,305.0,1513.455737704918,201.86885245901638,1.5908366322805023,0.0,20181004,glucose,37,O2,1
delta,559.0,1576.2415026833633,200.7978533094812,1.6648731906379661,0.0,20181004,glucose,37,O2,1
delta,334.0,1488.6916167664672,202.11976047904193,1.5616349448333502,0.0,20181004,glucose,37,O2,1
delta,534.0,1323.7322097378278,201.56554307116104,1.3671159042629075,0.0,20181004,glucose,37,O2,1
delta,405.0,1394.9802469135802,206.0543209876543,1.451131117966655,0.0,20181004,glucose,37,O2,1
delta,859.0,965.5902211874272,196.11292200232828,0.9447972426256268,0.0,20181004,glucose,37,O2,1
delta,433.0,1006.662817551963,203.89145496535798,0.9932297763166547,0.0,20181004,glucose,37,O2,1
delta,657.0,994.324200913242,193.6986301369863,0.9786801612703674,0.0,20181004,glucose,37,O2,1
delta,342.0,1048.5409356725147,194.21345029239765,1.0426121759290097,0.0,20181004,glucose,37,O2,1
delta,619.0,817.4071082390954,195.35702746365104,0.7700606969586875,0.0,20181004,glucose,37,O2,1
delta,585.0,1089.7589743589745,202.95897435897436,1.0912162142430752,0.0,20181004,glucose,37,O2,1
delta,524.0,1100.5591603053435,202.41603053435114,1.1039517220029047,0.0,20181004,glucose,37,O2,1
delta,532.0,752.4736842105264,201.1203007518797,0.6934916332689879,0.0,20181004,glucose,37,O2,1
delta,415.0,809.3590361445783,197.4289156626506,0.7605704636311913,0.0,20181004,glucose,37,O2,1
delta,602.0,878.8621262458472,197.27242524916943,0.8425280472980181,0.0,20181004,glucose,37,O2,1
delta,670.0,1833.8208955223881,182.4641791044776,1.96860910523825,0.0,20181004,glucose,37,O2,1
delta,694.0,934.6988472622478,195.20605187319885,0.9083703390251219,0.0,20181004,glucose,37,O2,1
delta,451.0,160.43680709534368,187.43015521064302,-0.004634332343707183,0.0,20181004,glucose,37,O2,1
delta,750.0,874.0453333333334,188.60933333333332,0.8368481169876113,0.0,20181004,glucose,37,O2,1
delta,774.0,159.3811369509044,187.0981912144703,-0.0058791715884284005,0.0,20181004,glucose,37,O2,1
delta,753.0,1341.7609561752988,187.48605577689244,1.3883752826934797,0.0,20181004,glucose,37,O2,1
delta,703.0,829.4395448079658,186.96301564722617,0.784249266493828,0.0,20181004,glucose,37,O2,1
delta,805.0,169.1006211180124,187.6782608695652,0.00558197978863263,0.0,20181004,glucose,37,O2,1
delta,499.0,875.6052104208417,190.28456913827657,0.8386875137212408,0.0,20181004,glucose,37,O2,1
delta,683.0,894.8579795021961,191.96632503660322,0.8613902515492154,0.0,20181004,glucose,37,O2,1
delta,672.0,909.983630952381,177.06994047619048,0.8792263195921981,0.0,20181004,glucose,37,O2,1
delta,537.0,155.87150837988827,189.6852886405959,-0.01001770236208804,0.0,20181004,glucose,37,O2,1
delta,665.0,750.2511278195489,178.24511278195487,0.6908708094883131,0.0,20181004,glucose,37,O2,1
delta,551.0,867.0199637023593,185.42468239564428,0.8285638476338028,0.0,20181004,glucose,37,O2,1
delta,528.0,804.5814393939394,185.6931818181818,0.7549367531753493,0.0,20181004,glucose,37,O2,1
delta,518.0,944.034749034749,177.16409266409266,0.9193791725821651,0.0,20181004,glucose,37,O2,1
delta,720.0,992.9944444444444,178.3972222222222,0.9771121212466909,0.0,20181004,glucose,37,O2,1
delta,469.0,1126.4307036247335,187.0597014925373,1.1344592745894067,0.0,20181004,glucose,37,O2,1
delta,476.0,940.6155462184873,187.32142857142858,0.9153472712598022,0.0,20181004,glucose,37,O2,1
delta,634.0,823.2807570977918,185.65141955835963,0.7769868648033801,0.0,20181004,glucose,37,O2,1
delta,806.0,1571.9950372208436,186.8846153846154,1.6598657866804492,0.0,20181004,glucose,37,O2,1
delta,586.0,956.7269624573379,185.7269624573379,0.9343457466148218,0.0,20181004,glucose,37,O2,1
delta,634.0,741.6798107255521,188.57413249211356,0.6807635691218403,0.0,20181004,glucose,37,O2,1
delta,568.0,1331.987676056338,181.42781690140845,1.3768506954861772,0.0,20181004,glucose,37,O2,1
delta,616.0,932.5551948051948,186.8068181818182,0.9058425582409073,0.0,20181004,glucose,37,O2,1
delta,468.0,1226.3034188034187,191.01495726495727,1.25222851906996,0.0,20181004,glucose,37,O2,1
delta,844.0,778.4502369668246,183.20616113744074,0.7241230122882235,0.0,20181004,glucose,37,O2,1
delta,697.0,1124.909612625538,184.8522238163558,1.1326656141543125,0.0,20181004,glucose,37,O2,1
delta,494.0,1217.6275303643724,1385.8441295546559,1.2419979688657725,0.0,20181004,glucose,37,O2,1
delta,758.0,967.5343007915567,188.61081794195252,0.9470896884230475,0.0,20181004,glucose,37,O2,1
delta,619.0,1093.1550888529887,188.17285945072697,1.0952208899687121,0.0,20181004,glucose,37,O2,1
delta,366.0,1010.103825136612,187.78142076502732,0.9972873896775304,0.0,20181004,glucose,37,O2,1
delta,511.0,920.2191780821918,187.62622309197653,0.8912960089980206,0.0,20181004,glucose,37,O2,1
delta,812.0,816.2955665024631,188.70443349753694,0.7687499743023787,0.0,20181004,glucose,37,O2,1
delta,583.0,1215.8078902229845,187.52144082332762,1.2398522612589018,0.0,20181004,glucose,37,O2,1
delta,572.0,945.2237762237762,180.83041958041957,0.9207812655709061,0.0,20181004,glucose,37,O2,1
delta,880.0,839.175,191.4522727272727,0.7957292507977376,0.0,20181004,glucose,37,O2,1
delta,605.0,827.0694214876033,180.5785123966942,0.7814544327670645,0.0,20181004,glucose,37,O2,1
delta,440.0,1005.8295454545455,183.59545454545454,0.992247187376482,0.0,20181004,glucose,37,O2,1
delta,642.0,1081.6806853582555,195.1822429906542,1.0816903493398522,0.0,20181004,glucose,37,O2,1
delta,714.0,765.2268907563025,184.13305322128852,0.7085301299886709,0.0,20181004,glucose,37,O2,1
delta,506.0,1346.0474308300395,194.69762845849803,1.3934298652255623,0.0,20181004,glucose,37,O2,1
delta,561.0,924.0178253119429,183.5276292335116,0.8957753486604655,0.0,20181004,glucose,37,O2,1
delta,740.0,1325.3094594594595,181.0810810810811,1.368975786691671,0.0,20181004,glucose,37,O2,1
delta,474.0,1007.4810126582279,189.51898734177215,0.994194586568685,0.0,20181004,glucose,37,O2,1
delta,881.0,1083.4585698070375,181.1328036322361,1.083786818910467,0.0,20181004,glucose,37,O2,1
delta,526.0,967.0513307984791,188.03422053231938,0.9465201734049591,0.0,20181004,glucose,37,O2,1
delta,511.0,804.2622309197652,182.866927592955,0.7545603446560852,0.0,20181004,glucose,37,O2,1
delta,846.0,879.4030732860521,195.45035460992906,0.8431659284662124,0.0,20181004,glucose,37,O2,1
delta,826.0,891.8159806295399,197.54842615012106,0.8578031466196814,0.0,20181004,glucose,37,O2,1
delta,565.0,1013.4088495575221,190.06371681415928,1.001184652592071,0.0,20181004,glucose,37,O2,1
delta,791.0,957.8798988621998,193.1542351453856,0.9357052815898326,0.0,20181004,glucose,37,O2,1
delta,766.0,899.8642297650131,182.0313315926893,0.8672935887127008,0.0,20181004,glucose,37,O2,1
delta,774.0,1029.7105943152455,191.12790697674419,1.0204075620763786,0.0,20181004,glucose,37,O2,1
delta,700.0,1096.6285714285714,195.22285714285715,1.0993167976238796,0.0,20181004,glucose,37,O2,1
delta,609.0,820.7323481116584,184.32840722495894,0.7739817977999706,0.0,20181004,glucose,37,O2,1
delta,365.0,904.7287671232876,184.36164383561643,0.8730298189574323,0.0,20181004,glucose,37,O2,1
delta,423.0,591.3782505910166,193.30260047281322,0.5035289645591877,0.0,20181004,glucose,37,O2,1
delta,936.0,1088.2275641025642,192.38247863247864,1.0894103854081976,0.0,20181004,glucose,37,O2,1
delta,873.0,1043.2886597938145,196.17067583046963,1.0364187269882126,0.0,20181004,glucose,37,O2,1
delta,826.0,928.5532687651332,189.9951573849879,0.9011235135512553,0.0,20181004,glucose,37,O2,1
delta,468.0,1024.6538461538462,192.91239316239316,1.0144446781252319,0.0,20181004,glucose,37,O2,1
delta,544.0,776.5459558823529,193.30882352941177,0.7218774966416769,0.0,20181004,glucose,37,O2,1
delta,522.0,883.0459770114943,191.3735632183908,0.8474616164195554,0.0,20181004,glucose,37,O2,1
delta,652.0,1127.9754601226994,182.909509202454,1.1362808412239611,0.0,20181004,glucose,37,O2,1
delta,597.0,986.0586264656616,191.57788944723617,0.968933450608224,0.0,20181004,glucose,37,O2,1
delta,431.0,1408.893271461717,184.18561484918794,1.4675372643955562,0.0,20181004,glucose,37,O2,1
delta,626.0,1057.2811501597444,192.92332268370606,1.0529185789833115,0.0,20181004,glucose,37,O2,1
delta,680.0,1197.5514705882354,191.51029411764705,1.2183244121015253,0.0,20181004,glucose,37,O2,1
delta,387.0,1239.142118863049,177.16537467700257,1.2673678291751267,0.0,20181004,glucose,37,O2,1
delta,330.0,1201.6939393939394,177.42727272727274,1.2232091838898882,0.0,20181004,glucose,37,O2,1
delta,422.0,1971.9502369668246,177.5047393364929,2.131490310113908,0.0,20181004,glucose,37,O2,1
delta,775.0,1253.727741935484,180.8890322580645,1.2845670993305993,0.0,20181004,glucose,37,O2,1
delta,492.0,1212.4166666666667,177.4979674796748,1.2358533528946138,0.0,20181004,glucose,37,O2,1
delta,343.0,265.84256559766766,196.49271137026238,0.11965944018975103,0.0,20181004,glucose,37,O2,1
delta,367.0,983.258855585831,177.8910081743869,0.9656319793240361,0.0,20181004,glucose,37,O2,1
delta,634.0,1129.3611987381703,178.9794952681388,1.1379148950243365,0.0,20181004,glucose,37,O2,1
delta,618.0,1359.8025889967637,182.25728155339806,1.4096498566627367,0.0,20181004,glucose,37,O2,1
delta,389.0,906.9845758354755,177.19794344473007,0.8756898536551143,0.0,20181004,glucose,37,O2,1
delta,534.0,1078.2340823970037,188.44569288389513,1.0776261379479335,0.0,20181004,glucose,37,O2,1
delta,465.0,1166.9161290322581,188.39354838709679,1.1821994201755912,0.0,20181004,glucose,37,O2,1
delta,501.0,876.6367265469062,179.75049900199602,0.8399038707074185,0.0,20181004,glucose,37,O2,1
delta,574.0,996.0365853658536,192.97909407665506,0.980699393679174,0.0,20181004,glucose,37,O2,1
delta,725.0,1393.688275862069,182.06896551724137,1.4496076342568651,0.0,20181004,glucose,37,O2,1
delta,647.0,927.5641421947449,203.6259659969088,0.8999571420484694,0.0,20181004,glucose,37,O2,1
delta,366.0,2017.9617486338798,180.9863387978142,2.185746780029064,0.0,20181004,glucose,37,O2,1
delta,447.0,1286.4944071588368,188.6599552572707,1.3232053340135896,0.0,20181004,glucose,37,O2,1
delta,558.0,888.1057347670251,173.84408602150538,0.8534280492641753,0.0,20181004,glucose,37,O2,1
delta,593.0,1034.1264755480606,184.01180438448566,1.0256147399885245,0.0,20181004,glucose,37,O2,1
delta,674.0,1340.0014836795253,184.6854599406528,1.386300524375947,0.0,20181004,glucose,37,O2,1
delta,861.0,885.5087108013937,182.13240418118468,0.850365655798822,0.0,20181004,glucose,37,O2,1
delta,357.0,992.3809523809524,184.03361344537817,0.9763886954673576,0.0,20181004,glucose,37,O2,1
delta,524.0,1328.9083969465648,184.11832061068702,1.3732196299478678,0.0,20181004,glucose,37,O2,1
delta,368.0,917.758152173913,177.89673913043478,0.8883939835414532,0.0,20181004,glucose,37,O2,1
delta,340.0,1006.0088235294118,183.63235294117646,0.9924585908953626,0.0,20181004,glucose,37,O2,1
delta,370.0,1109.827027027027,175.07567567567568,1.1148803290784843,0.0,20181004,glucose,37,O2,1
delta,396.0,1471.330808080808,175.62626262626262,1.5411631941772928,0.0,20181004,glucose,37,O2,1
delta,498.0,1414.5883534136547,174.46184738955824,1.474252867326092,0.0,20181004,glucose,37,O2,1
