I_1,I_2,area_1,area_2,bg_val,fractional_birth_area,date,run_no,temp,carbon,operator
101.54464285714286,101.55688622754491,336.0,334.0,101.50469483349605,0.49846153846153846,20181026,1,37,acetate,O2
101.5,101.55172413793103,428.0,406.0,101.50469483349605,0.470479704797048,20181026,1,37,acetate,O2
101.57473684210527,101.55731225296442,475.0,506.0,101.50469483349605,0.46272855133614627,20181026,1,37,acetate,O2
101.5623188405797,101.50764525993884,345.0,327.0,101.50469483349605,0.5450980392156862,20181026,1,37,acetate,O2
101.51171875,101.61162079510703,256.0,327.0,101.50469483349605,0.4525691699604743,20181026,1,37,acetate,O2
101.66283524904215,101.50381679389314,261.0,262.0,101.50469483349605,0.49427480916030536,20181026,1,37,acetate,O2
101.56435643564356,101.5241935483871,303.0,248.0,101.50469483349605,0.5473251028806584,20181026,1,37,acetate,O2
101.58394160583941,101.58897243107769,274.0,399.0,101.50469483349605,0.43418467583497056,20181026,1,37,acetate,O2
101.53680981595092,101.51660516605166,326.0,271.0,101.50469483349605,0.5505050505050505,20181026,1,37,acetate,O2
101.50242718446601,101.5224586288416,412.0,423.0,101.506713210294,0.5231316725978647,20181026,1,37,acetate,O2
101.5889423076923,101.58333333333333,416.0,420.0,101.506713210294,0.5498338870431894,20181026,1,37,acetate,O2
101.52719665271967,101.57142857142857,239.0,322.0,101.506713210294,0.4393939393939394,20181026,1,37,acetate,O2
101.5814696485623,101.51020408163265,313.0,294.0,101.506713210294,0.515650741350906,20181026,1,37,acetate,O2
101.55369928400955,101.52655889145497,419.0,433.0,101.506713210294,0.48360655737704916,20181026,1,37,acetate,O2
101.57700650759219,101.61630695443645,461.0,417.0,101.506713210294,0.5186915887850467,20181026,1,37,acetate,O2
101.51193633952255,101.53602305475505,377.0,347.0,101.506713210294,0.5243055555555556,20181026,1,37,acetate,O2
101.59433962264151,101.63703703703703,318.0,405.0,101.506713210294,0.43829113924050633,20181026,1,37,acetate,O2
