parameter,value,well_id,carbon,strain
time of max df stderr,0.44027718541845895,21,glucose,delta
time of max df std,4.402771854184589,21,glucose,delta
time of max df,437.5066666666668,21,glucose,delta
max df stderr,6.1960923183724854e-06,21,glucose,delta
max df std,6.196092318372486e-05,21,glucose,delta
inverse max df std,0.342108446617968,21,glucose,delta
max df std,5.868450251743245e-05,22,glucose,delta
max df,0.01094248540321988,22,glucose,delta
time of max df std,6.074693407901341,22,glucose,delta
time of max df stderr,0.6074693407901341,22,glucose,delta
inverse max df,63.34640505970046,22,glucose,delta
inverse max df std,0.3396556360588842,22,glucose,delta
max y stderr,0.00018457255675473607,22,glucose,delta
max y,0.23597656705531037,22,glucose,delta
max y std,0.0018457255675473608,22,glucose,delta
lag time,305.6597785076318,22,glucose,delta
lag time std,1.1592231855680255,22,glucose,delta
lag time stderr,0.11592231855680254,22,glucose,delta
max df stderr,5.868450251743245e-06,22,glucose,delta
inverse max df stderr,0.03396556360588842,22,glucose,delta
time of max df,437.57666666666677,22,glucose,delta
inverse max df,64.23073916022288,51,glucose,delta
time of max df,456.4066666666668,51,glucose,delta
time of max df std,4.301441618806421,51,glucose,delta
time of max df stderr,0.4301441618806421,51,glucose,delta
max df std,4.561047355503961e-05,51,glucose,delta
inverse max df std,0.2711909680558346,51,glucose,delta
inverse max df stderr,0.02711909680558346,51,glucose,delta
max y,0.299596239928833,51,glucose,delta
max y std,0.0016336584747128756,51,glucose,delta
max y stderr,0.00016336584747128757,51,glucose,delta
lag time,312.3972266331697,51,glucose,delta
max df stderr,4.561047355503961e-06,51,glucose,delta
max df,0.010791710613973472,51,glucose,delta
lag time stderr,0.08827048267020755,51,glucose,delta
lag time std,0.8827048267020755,51,glucose,delta
lag time std,1.6601235115932598,52,glucose,delta
lag time stderr,0.16601235115932597,52,glucose,delta
max df,0.011449989386538437,52,glucose,delta
max df std,0.00010624546344660516,52,glucose,delta
max df stderr,1.0624546344660516e-05,52,glucose,delta
time of max df,422.1766666666668,52,glucose,delta
time of max df std,5.168162149159022,52,glucose,delta
inverse max df stderr,0.05617973847035336,52,glucose,delta
inverse max df,60.54214019121545,52,glucose,delta
inverse max df std,0.5617973847035336,52,glucose,delta
max y,0.2728385243576515,52,glucose,delta
max y std,0.003066915498193167,52,glucose,delta
max y stderr,0.0003066915498193167,52,glucose,delta
lag time,317.7055300141769,52,glucose,delta
time of max df stderr,0.5168162149159021,52,glucose,delta
lag time,307.55024688274193,53,glucose,delta
max y stderr,0.0002862552723962171,53,glucose,delta
max y std,0.002862552723962171,53,glucose,delta
max y,0.2665833982962658,53,glucose,delta
inverse max df stderr,0.046441960608700664,53,glucose,delta
time of max df std,6.744746103449707,53,glucose,delta
inverse max df,61.08793798978745,53,glucose,delta
time of max df stderr,0.6744746103449707,53,glucose,delta
time of max df,429.38666666666677,53,glucose,delta
max df stderr,8.61441510524328e-06,53,glucose,delta
max df std,8.61441510524328e-05,53,glucose,delta
inverse max df std,0.4644196060870066,53,glucose,delta
max df,0.01134736591234984,53,glucose,delta
lag time stderr,0.16845774839576078,53,glucose,delta
lag time std,1.6845774839576078,53,glucose,delta
time of max df std,10.301184397922405,54,glucose,delta
max df,0.011609121112624994,54,glucose,delta
max df std,5.495463980447668e-05,54,glucose,delta
max df stderr,5.495463980447668e-06,54,glucose,delta
time of max df,390.3266666666667,54,glucose,delta
time of max df stderr,1.0301184397922405,54,glucose,delta
inverse max df,59.70845988599901,54,glucose,delta
inverse max df std,0.2831821578238811,54,glucose,delta
max y,0.2664361626846416,54,glucose,delta
max y std,0.0022504030922444523,54,glucose,delta
max y stderr,0.00022504030922444523,54,glucose,delta
lag time,301.8920739447143,54,glucose,delta
lag time std,0.7960449906242267,54,glucose,delta
lag time stderr,0.07960449906242267,54,glucose,delta
inverse max df stderr,0.028318215782388113,54,glucose,delta
time of max df,327.3266666666667,55,glucose,delta
max df stderr,1.8585643385527064e-05,55,glucose,delta
lag time stderr,0.02693336239696159,55,glucose,delta
max df,0.011880290220413665,55,glucose,delta
time of max df std,26.420340648825885,55,glucose,delta
max df std,0.00018585643385527064,55,glucose,delta
time of max df stderr,2.6420340648825884,55,glucose,delta
inverse max df std,0.905352447279729,55,glucose,delta
inverse max df stderr,0.09053524472797289,55,glucose,delta
max y,0.26201039278325167,55,glucose,delta
max y std,0.002701548072079212,55,glucose,delta
max y stderr,0.0002701548072079212,55,glucose,delta
lag time,300.2989475680595,55,glucose,delta
lag time std,0.2693336239696159,55,glucose,delta
inverse max df,58.358456849320525,55,glucose,delta
max y stderr,0.00023043015295185778,56,glucose,delta
max y std,0.0023043015295185778,56,glucose,delta
max y,0.25773021302594035,56,glucose,delta
inverse max df stderr,0.029413115768932862,56,glucose,delta
inverse max df std,0.2941311576893286,56,glucose,delta
inverse max df,57.5085952854952,56,glucose,delta
time of max df stderr,0.8515867542417507,56,glucose,delta
max df std,6.170134415427237e-05,56,glucose,delta
time of max df,392.5666666666667,56,glucose,delta
max df stderr,6.170134415427236e-06,56,glucose,delta
max df,0.012053247432787177,56,glucose,delta
lag time std,0.9084622862491586,56,glucose,delta
lag time stderr,0.09084622862491586,56,glucose,delta
time of max df std,8.515867542417507,56,glucose,delta
lag time,302.5310917690898,56,glucose,delta
lag time stderr,0.07034374601488338,57,glucose,delta
max df,0.01103058802889658,57,glucose,delta
lag time,301.61317844793496,57,glucose,delta
max y stderr,0.00019288040021570274,57,glucose,delta
max y std,0.0019288040021570273,57,glucose,delta
max y,0.26245369284520725,57,glucose,delta
inverse max df stderr,0.0238622843330055,57,glucose,delta
inverse max df std,0.23862284333005498,57,glucose,delta
lag time std,0.7034374601488339,57,glucose,delta
inverse max df,62.839548764023576,57,glucose,delta
time of max df stderr,1.185957840734653,57,glucose,delta
time of max df std,11.859578407346529,57,glucose,delta
time of max df,395.6466666666667,57,glucose,delta
max df stderr,4.1881401920310555e-06,57,glucose,delta
max df std,4.188140192031055e-05,57,glucose,delta
lag time std,4.036881649531644,58,glucose,delta
max df,0.0129868323622781,58,glucose,delta
max df std,0.00019547973907917804,58,glucose,delta
max df stderr,1.9547973907917804e-05,58,glucose,delta
time of max df,359.3866666666667,58,glucose,delta
time of max df std,23.767448327491937,58,glucose,delta
time of max df stderr,2.3767448327491936,58,glucose,delta
inverse max df std,0.8073835755726303,58,glucose,delta
inverse max df stderr,0.08073835755726302,58,glucose,delta
max y,0.26137465665155096,58,glucose,delta
max y std,0.002905254042825325,58,glucose,delta
max y stderr,0.0002905254042825325,58,glucose,delta
lag time,310.7880368174727,58,glucose,delta
lag time stderr,0.4036881649531644,58,glucose,delta
inverse max df,53.385225859044255,58,glucose,delta
