date,carbon,temp_C,operator,colony_idx,area,time_min
20181024,glucose,37,O2,4,5169,165
20181024,glucose,37,O2,4,5397,170
20181024,glucose,37,O2,4,5617,175
20181024,glucose,37,O2,4,5872,180
20181024,glucose,37,O2,4,6133,185
20181024,glucose,37,O2,4,6405,190
20181024,glucose,37,O2,4,6717,195
20181024,glucose,37,O2,4,7096,200
20181024,glucose,37,O2,4,7467,205
20181024,glucose,37,O2,4,7831,210
20181024,glucose,37,O2,4,8159,215
20181024,glucose,37,O2,4,8457,220
20181024,glucose,37,O2,4,8873,225
20181024,glucose,37,O2,4,9237,230
20181024,glucose,37,O2,4,9629,235
20181024,glucose,37,O2,4,10118,240
20181024,glucose,37,O2,4,10572,245
20181024,glucose,37,O2,4,10987,250
20181024,glucose,37,O2,4,11411,255
20181024,glucose,37,O2,4,11869,260
20181024,glucose,37,O2,4,12408,265
20181024,glucose,37,O2,4,12889,270
20181024,glucose,37,O2,4,13493,275
20181024,glucose,37,O2,4,13985,280
20181024,glucose,37,O2,4,14513,285
20181024,glucose,37,O2,4,15141,290
20181024,glucose,37,O2,4,15641,295
20181024,glucose,37,O2,4,16252,300
20181024,glucose,37,O2,4,16828,305
20181024,glucose,37,O2,4,17455,310
20181024,glucose,37,O2,4,18069,315
20181024,glucose,37,O2,4,18739,320
20181024,glucose,37,O2,4,19415,325
20181024,glucose,37,O2,4,20133,330
20181024,glucose,37,O2,4,20903,335
20181024,glucose,37,O2,4,21701,340
20181024,glucose,37,O2,4,22498,345
20181024,glucose,37,O2,4,23284,350
20181024,glucose,37,O2,4,24002,355
20181024,glucose,37,O2,4,24849,360
20181024,glucose,37,O2,5,706,5
20181024,glucose,37,O2,5,693,10
20181024,glucose,37,O2,5,725,15
20181024,glucose,37,O2,5,762,20
20181024,glucose,37,O2,5,818,25
20181024,glucose,37,O2,5,881,30
20181024,glucose,37,O2,5,944,35
20181024,glucose,37,O2,5,1003,40
20181024,glucose,37,O2,5,1078,45
20181024,glucose,37,O2,5,1136,50
20181024,glucose,37,O2,5,1206,55
20181024,glucose,37,O2,5,1269,60
20181024,glucose,37,O2,5,1332,65
20181024,glucose,37,O2,5,1384,70
20181024,glucose,37,O2,5,1446,75
20181024,glucose,37,O2,5,1511,80
20181024,glucose,37,O2,5,1570,85
20181024,glucose,37,O2,5,1598,90
20181024,glucose,37,O2,5,1646,95
20181024,glucose,37,O2,5,1687,100
20181024,glucose,37,O2,5,1758,105
20181024,glucose,37,O2,5,1846,110
20181024,glucose,37,O2,5,1912,115
20181024,glucose,37,O2,5,1986,120
20181024,glucose,37,O2,5,2075,125
20181024,glucose,37,O2,5,2154,130
20181024,glucose,37,O2,5,2229,135
20181024,glucose,37,O2,5,2317,140
20181024,glucose,37,O2,5,2392,145
20181024,glucose,37,O2,5,2529,150
20181024,glucose,37,O2,5,2644,155
20181024,glucose,37,O2,5,2782,160
20181024,glucose,37,O2,5,2916,165
20181024,glucose,37,O2,5,3054,170
20181024,glucose,37,O2,5,3212,175
20181024,glucose,37,O2,5,3391,180
20181024,glucose,37,O2,5,3555,185
20181024,glucose,37,O2,5,3704,190
20181024,glucose,37,O2,5,3873,195
20181024,glucose,37,O2,5,4037,200
20181024,glucose,37,O2,5,4214,205
20181024,glucose,37,O2,5,4565,210
20181024,glucose,37,O2,5,4740,215
20181024,glucose,37,O2,5,4916,220
20181024,glucose,37,O2,5,5135,225
20181024,glucose,37,O2,5,5342,230
20181024,glucose,37,O2,5,5549,235
20181024,glucose,37,O2,5,5640,240
20181024,glucose,37,O2,5,5895,245
20181024,glucose,37,O2,5,6146,250
20181024,glucose,37,O2,5,6386,255
20181024,glucose,37,O2,5,6666,260
20181024,glucose,37,O2,5,7148,265
20181024,glucose,37,O2,5,7456,270
20181024,glucose,37,O2,5,7793,275
20181024,glucose,37,O2,5,8124,280
20181024,glucose,37,O2,5,8434,285
20181024,glucose,37,O2,5,8787,290
20181024,glucose,37,O2,5,9134,295
20181024,glucose,37,O2,5,9498,300
20181024,glucose,37,O2,5,9834,305
20181024,glucose,37,O2,5,10194,310
20181024,glucose,37,O2,5,10554,315
20181024,glucose,37,O2,5,10947,320
20181024,glucose,37,O2,5,11383,325
20181024,glucose,37,O2,5,11890,330
20181024,glucose,37,O2,5,12422,335
20181024,glucose,37,O2,5,12997,340
20181024,glucose,37,O2,5,13518,345
20181024,glucose,37,O2,5,14067,350
20181024,glucose,37,O2,5,14592,355
20181024,glucose,37,O2,5,15237,360
20181024,glucose,37,O2,6,679,5
20181024,glucose,37,O2,6,684,10
20181024,glucose,37,O2,6,697,15
20181024,glucose,37,O2,6,705,20
20181024,glucose,37,O2,6,725,25
20181024,glucose,37,O2,6,754,30
20181024,glucose,37,O2,6,770,35
20181024,glucose,37,O2,6,788,40
20181024,glucose,37,O2,6,815,45
20181024,glucose,37,O2,6,810,50
20181024,glucose,37,O2,6,808,55
20181024,glucose,37,O2,6,816,60
20181024,glucose,37,O2,6,803,65
20181024,glucose,37,O2,6,831,70
20181024,glucose,37,O2,6,816,75
20181024,glucose,37,O2,6,815,80
20181024,glucose,37,O2,6,806,85
20181024,glucose,37,O2,6,807,90
20181024,glucose,37,O2,6,798,95
20181024,glucose,37,O2,6,825,100
20181024,glucose,37,O2,6,827,105
20181024,glucose,37,O2,6,812,110
20181024,glucose,37,O2,6,821,115
20181024,glucose,37,O2,6,830,120
20181024,glucose,37,O2,6,826,125
20181024,glucose,37,O2,6,865,130
20181024,glucose,37,O2,6,891,135
20181024,glucose,37,O2,6,920,140
20181024,glucose,37,O2,6,944,145
20181024,glucose,37,O2,6,991,150
20181024,glucose,37,O2,6,1027,155
20181024,glucose,37,O2,6,1043,160
20181024,glucose,37,O2,6,1065,165
20181024,glucose,37,O2,6,1076,170
20181024,glucose,37,O2,6,1085,175
20181024,glucose,37,O2,6,1094,180
20181024,glucose,37,O2,6,1113,185
20181024,glucose,37,O2,6,1156,190
20181024,glucose,37,O2,6,1189,195
20181024,glucose,37,O2,6,1225,200
20181024,glucose,37,O2,6,1238,205
20181024,glucose,37,O2,6,1281,210
20181024,glucose,37,O2,6,1331,215
20181024,glucose,37,O2,6,1402,220
20181024,glucose,37,O2,6,1481,225
20181024,glucose,37,O2,6,1555,230
20181024,glucose,37,O2,6,1614,235
20181024,glucose,37,O2,6,1574,240
20181024,glucose,37,O2,6,1661,245
20181024,glucose,37,O2,6,1642,250
20181024,glucose,37,O2,6,1713,255
20181024,glucose,37,O2,6,1811,260
20181024,glucose,37,O2,6,1862,265
20181024,glucose,37,O2,6,1885,270
20181024,glucose,37,O2,6,1980,275
20181024,glucose,37,O2,6,2142,280
20181024,glucose,37,O2,6,2207,285
20181024,glucose,37,O2,6,2349,290
20181024,glucose,37,O2,6,2465,295
20181024,glucose,37,O2,6,2648,300
20181024,glucose,37,O2,6,2844,305
20181024,glucose,37,O2,6,2996,310
20181024,glucose,37,O2,6,3217,315
20181024,glucose,37,O2,6,3405,320
20181024,glucose,37,O2,6,3581,325
20181024,glucose,37,O2,6,3697,330
